# Units:
#   "lambda" is in Angstroms
#   "pass"   is *probably* the contribution to the detector signal
#            per photon
# Bandpass Name:
#   ch70
# Instrument:
#   Spitzer MIPS
# Notes:
#   - Original data from
#     "http://ssc.spitzer.caltech.edu/irac/spectral_response.html"
#   - ".par" file built automatically by processspitzer.
|    lambda |     pass |
|  504646.3 | 0.000866 |
|  507208.0 | 0.001816 |
|  509795.8 | 0.002936 |
|  512410.1 | 0.004346 |
|  515051.4 | 0.006087 |
|  517720.0 |  0.00817 |
|  520416.5 | 0.010677 |
|  523141.2 |  0.01409 |
|  525894.6 | 0.018454 |
|  528677.1 | 0.023109 |
|  531489.2 | 0.027443 |
|  534331.4 | 0.032523 |
|  537204.1 | 0.040173 |
|  540107.9 | 0.049711 |
|  543043.3 | 0.060504 |
|  546010.8 | 0.073617 |
|  549010.8 | 0.090147 |
|  552044.0 | 0.109523 |
|  555110.9 |  0.12962 |
|  558212.1 | 0.145772 |
|  561348.1 | 0.153541 |
|  564519.6 | 0.158599 |
|  567727.1 | 0.170037 |
|  570971.3 | 0.189803 |
|  574252.7 | 0.214929 |
|  577572.1 | 0.241451 |
|  580930.1 | 0.263499 |
|  584327.3 | 0.279945 |
|  587764.5 | 0.294817 |
|  591242.4 | 0.312668 |
|  594761.7 | 0.336648 |
|  598323.2 | 0.369982 |
|  601927.5 | 0.412077 |
|  605575.6 | 0.454126 |
|  609268.1 | 0.491189 |
|  613006.0 | 0.526436 |
|  616789.9 | 0.559559 |
|  620620.9 |  0.59515 |
|  624499.8 | 0.641587 |
|  628427.5 | 0.694072 |
|  632404.9 |  0.73797 |
|  636432.9 |  0.77468 |
|  640512.6 | 0.808052 |
|  644645.0 | 0.827862 |
|  648831.0 | 0.838341 |
|  653071.7 | 0.848857 |
|  657368.2 | 0.860528 |
|  661721.7 | 0.869998 |
|  666133.1 | 0.883175 |
|  670603.8 | 0.903375 |
|  675134.9 | 0.923421 |
|  679727.7 | 0.945281 |
|  684383.4 | 0.970016 |
|  689103.2 | 0.984766 |
|  693888.7 | 0.989037 |
|  698741.1 | 0.995237 |
|  708652.3 | 0.998268 |
|  713714.1 | 0.999989 |
|  718848.7 | 1.000645 |
|  724057.8 | 0.992201 |
|  729342.9 | 0.982083 |
|  734705.7 | 0.972578 |
|  740147.9 | 0.958518 |
|  745671.4 | 0.938603 |
|  751278.0 | 0.917937 |
|  756969.5 | 0.883038 |
|  762747.9 | 0.832029 |
|  768615.2 | 0.781721 |
|  774573.4 | 0.729882 |
|  780624.8 | 0.670221 |
|  786771.4 | 0.611989 |
|  793015.7 | 0.558421 |
|  799359.8 | 0.505731 |
|  805806.2 | 0.456761 |
|  812357.5 | 0.416541 |
|  819016.2 | 0.379062 |
|  825784.9 | 0.340729 |
|  832666.4 | 0.307558 |
|  839663.6 | 0.279367 |
|  846779.4 | 0.250857 |
|  854016.9 | 0.223651 |
|  861379.1 | 0.200818 |
|  868869.3 | 0.178981 |
|  876491.0 | 0.159608 |
|  884247.5 | 0.144221 |
|  892142.6 | 0.130385 |
|  900179.9 | 0.117319 |
|  908363.4 | 0.107147 |
|  916697.0 | 0.098924 |
|  925184.9 | 0.089555 |
|  933831.5 | 0.081557 |
|  942641.3 | 0.075779 |
|  951618.8 |  0.06901 |
|  960769.0 | 0.061375 |
|  970096.8 | 0.056092 |
|  979607.6 | 0.051865 |
|  989306.7 | 0.046722 |
|  999199.7 |  0.04214 |
| 1009293.0 | 0.038231 |
| 1019592.0 | 0.034554 |
| 1030103.0 | 0.033021 |
| 1040833.0 |  0.03299 |
| 1051789.0 | 0.032422 |
| 1062978.0 | 0.030687 |
| 1074408.0 | 0.030265 |
| 1086087.0 | 0.030992 |
| 1098022.0 |  0.03027 |
| 1110222.0 |  0.02935 |
