# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): B
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  3530.1 AA and  5480.1 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 3530.1001 | 7.7619404e-07 |
|    3540.0 | 1.9068327e-06 |
| 3549.8999 | 2.8580753e-06 |
|    3559.8 | 4.6684345e-06 |
|    3569.7 | 7.5081384e-06 |
| 3579.6001 | 1.2864085e-05 |
|    3589.5 | 2.3337217e-05 |
| 3599.3999 | 4.0174466e-05 |
|    3609.3 | 6.5141059e-05 |
|    3619.2 | 9.9506957e-05 |
| 3629.1001 | 0.00014402838 |
|    3639.0 | 0.00019847605 |
| 3648.8999 | 0.00026213622 |
|    3658.8 | 0.00033459393 |
|    3668.7 | 0.00041627875 |
| 3678.6001 | 0.00050919352 |
|    3688.5 | 0.00061701884 |
| 3698.3999 | 0.00074423751 |
|    3708.3 | 0.00089150312 |
|    3718.2 |  0.0010556472 |
|    3728.0 |  0.0012319031 |
| 3737.8999 |  0.0014116506 |
|    3747.8 |   0.001586045 |
|    3757.7 |  0.0017511898 |
| 3767.6001 |  0.0019030435 |
|    3777.5 |  0.0020398756 |
| 3787.3999 |   0.002166935 |
|    3797.3 |  0.0022889588 |
|    3807.2 |  0.0024108244 |
| 3817.1001 |  0.0025418147 |
|    3827.0 |  0.0026835641 |
| 3836.8999 |  0.0028347503 |
|    3846.8 |  0.0029934284 |
|    3856.7 |  0.0031496854 |
| 3866.6001 |   0.003298383 |
|    3876.5 |  0.0034400586 |
| 3886.3999 |    0.00357266 |
|    3896.3 |  0.0036985353 |
|    3906.2 |  0.0038175383 |
| 3916.1001 |   0.003927737 |
|    3926.0 |  0.0040309625 |
| 3935.8999 |  0.0041272384 |
|    3945.8 |  0.0042166519 |
|    3955.7 |  0.0042987908 |
| 3965.6001 |  0.0043715448 |
|    3975.5 |  0.0044369865 |
| 3985.3999 |  0.0045002699 |
|    3995.3 |  0.0045618722 |
|    4005.2 |  0.0046193055 |
| 4015.1001 |  0.0046703527 |
|    4025.0 |  0.0047166301 |
