# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): I
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  6946.9 AA and  9228.3 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 6946.8999 | 2.6784363e-07 |
| 6958.6001 |  1.076419e-06 |
| 6970.2998 |  2.797651e-06 |
|    6982.0 | 6.0264688e-06 |
| 6993.7002 | 1.1419765e-05 |
| 7005.3999 | 2.0383566e-05 |
| 7017.1001 | 3.4020944e-05 |
| 7028.7998 | 5.4443819e-05 |
|    7040.5 | 8.3951621e-05 |
| 7052.2002 | 0.00012466543 |
| 7063.8999 | 0.00017935227 |
| 7075.6001 | 0.00025069329 |
| 7087.2998 | 0.00034036601 |
|    7099.0 | 0.00045170391 |
| 7110.7002 | 0.00058694504 |
| 7122.3999 | 0.00074631086 |
| 7134.1001 | 0.00093048281 |
| 7145.7998 |  0.0011392091 |
|    7157.5 |  0.0013512115 |
| 7169.2002 |  0.0015539357 |
| 7180.8999 |  0.0017704209 |
| 7192.6001 |  0.0020273929 |
| 7204.2998 |  0.0023292175 |
|    7216.0 |  0.0026778583 |
| 7227.7002 |  0.0029787689 |
| 7239.3999 |  0.0032393821 |
| 7251.1001 |  0.0035348865 |
| 7262.7998 |  0.0038405966 |
|    7274.5 |  0.0041432721 |
| 7286.2002 |  0.0044460646 |
| 7297.8999 |  0.0047493191 |
| 7309.6001 |  0.0050511262 |
| 7321.2998 |   0.005340613 |
|    7333.0 |   0.005632529 |
| 7344.7002 |  0.0059220586 |
| 7356.3999 |   0.006153529 |
| 7368.1001 |  0.0063744318 |
| 7379.7998 |   0.006587022 |
|    7391.5 |  0.0068042986 |
| 7403.2002 |  0.0069861123 |
| 7414.8999 |  0.0071522882 |
| 7426.6001 |  0.0072941878 |
| 7438.2998 |  0.0074193929 |
|    7450.0 |  0.0075325249 |
| 7461.7002 |  0.0076332949 |
| 7473.3999 |  0.0077260532 |
| 7485.1001 |  0.0078134844 |
| 7496.7998 |  0.0079020876 |
|    7508.5 |  0.0079929801 |
| 7520.2002 |   0.008079282 |
| 7531.8999 |    0.00816378 |
| 7543.6001 |  0.0082346592 |
| 7555.2998 |  0.0082786903 |
|    7567.0 |  0.0080644554 |
