# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): R
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  5696.1 AA and  7689.8 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 5696.1001 | 1.6819729e-07 |
| 5706.2998 | 6.7307678e-07 |
|    5716.5 | 1.9359231e-06 |
| 5726.7002 |  5.052394e-06 |
| 5736.7998 | 1.1709668e-05 |
|    5747.0 | 2.4609242e-05 |
| 5757.2002 |  4.805913e-05 |
| 5767.2998 | 8.7302207e-05 |
|    5777.5 | 0.00014877255 |
| 5787.7002 | 0.00023967434 |
| 5797.8999 |   0.000366633 |
|    5808.0 | 0.00053411955 |
| 5818.2002 | 0.00074564636 |
| 5828.3999 |  0.0010025296 |
|    5838.5 |  0.0013026086 |
| 5848.7002 |  0.0016413619 |
| 5858.8999 |  0.0020113753 |
| 5869.1001 |  0.0024042984 |
| 5879.2002 |  0.0028104067 |
| 5889.3999 |  0.0032199039 |
| 5899.6001 |   0.003622873 |
| 5909.7002 |  0.0040092124 |
| 5919.8999 |  0.0043729944 |
| 5930.1001 |  0.0047122389 |
| 5940.2998 |  0.0050247167 |
| 5950.3999 |  0.0053084367 |
| 5960.6001 |  0.0055638272 |
| 5970.7998 |  0.0057943277 |
|    5981.0 |  0.0060026334 |
| 5991.1001 |  0.0061889598 |
| 6001.2998 |  0.0063536563 |
|    6011.5 |  0.0065019205 |
| 6021.6001 |  0.0066359448 |
| 6031.7998 |  0.0067567178 |
|    6042.0 |  0.0068656248 |
| 6052.2002 |  0.0069657126 |
| 6062.2998 |  0.0070601627 |
|    6072.5 |  0.0071509276 |
| 6082.7002 |  0.0072382991 |
| 6092.7998 |  0.0073234234 |
|    6103.0 |  0.0074068406 |
| 6113.2002 |  0.0074877748 |
| 6123.3999 |  0.0075634625 |
|    6133.5 |  0.0076316721 |
| 6143.7002 |  0.0076923533 |
| 6153.8999 |  0.0077446401 |
|    6164.0 |  0.0077876579 |
| 6174.2002 |  0.0078268666 |
| 6184.3999 |  0.0078630419 |
| 6194.6001 |  0.0078944499 |
| 6204.7002 |  0.0079227518 |
| 6214.8999 |  0.0079472847 |
| 6225.1001 |  0.0079690898 |
| 6235.2002 |  0.0079890369 |
| 6245.3999 |  0.0080049271 |
| 6255.6001 |  0.0080178035 |
| 6265.7998 |  0.0080291349 |
| 6275.8999 |  0.0080425795 |
| 6286.1001 |  0.0080623794 |
| 6296.2998 |  0.0080849081 |
|    6306.5 |  0.0081087798 |
| 6316.6001 |  0.0081335735 |
| 6326.7998 |  0.0081581315 |
|    6337.0 |  0.0081815934 |
| 6347.1001 |  0.0081996797 |
| 6357.2998 |  0.0082105994 |
|    6367.5 |  0.0082203951 |
| 6377.7002 |  0.0082322201 |
| 6387.7998 |  0.0082441578 |
|    6398.0 |  0.0082575055 |
| 6408.2002 |  0.0082741259 |
| 6418.2998 |  0.0082945675 |
|    6428.5 |   0.008318115 |
| 6438.7002 |  0.0083389627 |
| 6448.8999 |  0.0083542801 |
|    6459.0 |  0.0083665373 |
| 6469.2002 |  0.0083758784 |
| 6479.3999 |  0.0083800936 |
|    6489.5 |  0.0083781183 |
| 6499.7002 |   0.008369022 |
| 6509.8999 |  0.0083545074 |
| 6520.1001 |  0.0083390037 |
| 6530.2002 |  0.0083202291 |
| 6540.3999 |  0.0082999654 |
| 6550.6001 |  0.0082772728 |
| 6560.7002 |  0.0082522733 |
| 6570.8999 |  0.0082275569 |
| 6581.1001 |  0.0082036098 |
| 6591.2998 |  0.0081813242 |
| 6601.3999 |  0.0081634242 |
| 6611.6001 |  0.0081500122 |
| 6621.7998 |  0.0081452494 |
|    6632.0 |  0.0081529971 |
| 6642.1001 |  0.0081724226 |
| 6652.2998 |  0.0082020359 |
|    6662.5 |  0.0082391165 |
| 6672.6001 |  0.0082789678 |
| 6682.7998 |  0.0083185574 |
|    6693.0 |  0.0083571132 |
| 6703.2002 |  0.0083901463 |
| 6713.2998 |  0.0084150797 |
|    6723.5 |  0.0084297499 |
| 6733.7002 |  0.0084304912 |
| 6743.7998 |  0.0084174955 |
|    6754.0 |   0.008395886 |
| 6764.2002 |   0.008363069 |
| 6774.3999 |  0.0083212806 |
|    6784.5 |  0.0082739759 |
| 6794.7002 |  0.0082235886 |
| 6804.8999 |  0.0081805456 |
|    6815.0 |  0.0081498735 |
| 6825.2002 |  0.0081281662 |
| 6835.3999 |  0.0081156632 |
| 6845.6001 |   0.008019831 |
| 6855.7002 |  0.0077871773 |
| 6865.8999 |  0.0074056718 |
| 6876.1001 |  0.0071973908 |
| 6886.2002 |  0.0073010414 |
| 6896.3999 |  0.0074471156 |
| 6906.6001 |  0.0076109725 |
| 6916.7998 |  0.0077942857 |
| 6926.8999 |  0.0080332942 |
| 6937.1001 |   0.008147642 |
| 6947.2998 |  0.0081153419 |
|    6957.5 |  0.0080519477 |
| 6967.6001 |  0.0079497136 |
| 6977.7998 |  0.0078260051 |
|    6988.0 |    0.00764901 |
| 6998.1001 |  0.0073956219 |
| 7008.2998 |  0.0071086655 |
|    7018.5 |  0.0068030623 |
| 7028.7002 |  0.0064793336 |
| 7038.7998 |  0.0061353236 |
|    7049.0 |  0.0057756403 |
| 7059.2002 |  0.0053994996 |
| 7069.2998 |  0.0050087809 |
|    7079.5 |  0.0046136929 |
| 7089.7002 |  0.0042152135 |
| 7099.8999 |  0.0038090248 |
|    7110.0 |  0.0034011623 |
| 7120.2002 |  0.0030037838 |
| 7130.3999 |  0.0026270906 |
|    7140.5 |  0.0022754043 |
| 7150.7002 |  0.0019337878 |
| 7160.8999 |  0.0016301329 |
| 7171.1001 |  0.0013300373 |
| 7181.2002 |  0.0010953486 |
| 7191.3999 |  0.0009148817 |
| 7201.6001 | 0.00077275059 |
| 7211.7002 | 0.00065900042 |
| 7221.8999 | 0.00056282664 |
| 7232.1001 | 0.00046956688 |
| 7242.2998 | 0.00039460155 |
| 7252.3999 | 0.00033775679 |
