# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): V
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 2nd 2008, NYU:
# 
# Note 1: I only include Q.E. between  4726.0 AA and  6572.6 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
|    4726.0 | 2.3201649e-07 |
| 4735.3999 | 6.9706857e-07 |
| 4744.7998 | 1.3186132e-06 |
| 4754.1001 | 2.3303355e-06 |
|    4763.5 | 4.5897032e-06 |
| 4772.8999 | 9.2707523e-06 |
| 4782.2998 | 1.8724693e-05 |
| 4791.6001 | 3.6878577e-05 |
|    4801.0 | 6.9482485e-05 |
| 4810.3999 | 0.00012348243 |
| 4819.7998 | 0.00020610835 |
| 4829.1001 | 0.00032359932 |
|    4838.5 | 0.00048082357 |
| 4847.8999 | 0.00068030169 |
| 4857.2002 | 0.00092100794 |
| 4866.6001 |  0.0011991023 |
|    4876.0 |  0.0015098214 |
| 4885.3999 |  0.0018459304 |
| 4894.7002 |   0.002201075 |
| 4904.1001 |  0.0025695309 |
|    4913.5 |  0.0029433183 |
| 4922.8999 |   0.003314042 |
| 4932.2002 |  0.0036749616 |
| 4941.6001 |  0.0040212581 |
|    4951.0 |  0.0043467856 |
| 4960.3999 |  0.0046469262 |
| 4969.7002 |  0.0049201888 |
| 4979.1001 |   0.005166356 |
|    4988.5 |  0.0053844904 |
| 4997.8999 |  0.0055751489 |
| 5007.2002 |  0.0057422612 |
| 5016.6001 |  0.0058894847 |
|    5026.0 |  0.0060223979 |
| 5035.2998 |  0.0061471858 |
| 5044.7002 |  0.0062611192 |
| 5054.1001 |  0.0063650822 |
|    5063.5 |  0.0064659892 |
| 5072.7998 |  0.0065660346 |
| 5082.2002 |  0.0066627455 |
| 5091.6001 |  0.0067531448 |
|    5101.0 |  0.0068400484 |
| 5110.2998 |  0.0069258157 |
| 5119.7002 |  0.0070061097 |
| 5129.1001 |  0.0070751701 |
|    5138.5 |  0.0071330518 |
| 5147.7998 |  0.0071808803 |
| 5157.2002 |   0.007223641 |
| 5166.6001 |  0.0072651659 |
|    5176.0 |  0.0073071634 |
| 5185.2998 |  0.0073528318 |
| 5194.7002 |  0.0074012498 |
| 5204.1001 |  0.0074518924 |
| 5213.3999 |  0.0075040474 |
| 5222.7998 |  0.0075577144 |
| 5232.2002 |  0.0076115327 |
| 5241.6001 |  0.0076615703 |
| 5250.8999 |   0.007708746 |
| 5260.2998 |  0.0077533303 |
| 5269.7002 |   0.007791569 |
| 5279.1001 |  0.0078213122 |
| 5288.3999 |  0.0078441296 |
| 5297.7998 |  0.0078633307 |
| 5307.2002 |  0.0078796726 |
| 5316.6001 |  0.0078904312 |
| 5325.8999 |  0.0078993309 |
| 5335.2998 |  0.0079128332 |
| 5344.7002 |  0.0079294853 |
| 5354.1001 |  0.0079432661 |
| 5363.3999 |  0.0079527078 |
| 5372.7998 |  0.0079640336 |
| 5382.2002 |  0.0079771113 |
|    5391.5 |  0.0079870792 |
| 5400.8999 |  0.0079925116 |
| 5410.2998 |  0.0079963123 |
| 5419.7002 |   0.008002189 |
|    5429.0 |  0.0080100996 |
| 5438.3999 |  0.0080205509 |
| 5447.7998 |  0.0080338353 |
| 5457.2002 |  0.0080489609 |
|    5466.5 |  0.0080653029 |
| 5475.8999 |  0.0080819521 |
| 5485.2998 |  0.0080986163 |
| 5494.7002 |  0.0081144627 |
|    5504.0 |  0.0081277788 |
| 5513.3999 |  0.0081389006 |
| 5522.7998 |  0.0081459424 |
| 5532.2002 |  0.0081473989 |
|    5541.5 |  0.0081437165 |
| 5550.8999 |  0.0081331395 |
| 5560.2998 |  0.0081146089 |
| 5569.6001 |  0.0080884052 |
|    5579.0 |  0.0080587845 |
| 5588.3999 |  0.0080295522 |
| 5597.7998 |  0.0080005378 |
| 5607.1001 |  0.0079723652 |
|    5616.5 |  0.0079502761 |
| 5625.8999 |  0.0079373093 |
| 5635.2998 |  0.0079349838 |
| 5644.6001 |  0.0079421056 |
|    5654.0 |  0.0079575749 |
| 5663.3999 |   0.007982377 |
| 5672.7998 |  0.0080150133 |
| 5682.1001 |  0.0080510005 |
|    5691.5 |  0.0080839386 |
| 5700.8999 |  0.0081113484 |
| 5710.2998 |  0.0081326356 |
| 5719.6001 |  0.0081453184 |
|    5729.0 |  0.0081463382 |
| 5738.3999 |  0.0081337932 |
| 5747.7002 |  0.0081076352 |
| 5757.1001 |  0.0080705266 |
|    5766.5 |  0.0080237733 |
| 5775.8999 |  0.0079702307 |
| 5785.2002 |   0.007915684 |
| 5794.6001 |  0.0078665307 |
|    5804.0 |  0.0078260852 |
| 5813.3999 |  0.0077900942 |
| 5822.7002 |  0.0077505093 |
| 5832.1001 |  0.0076982412 |
|    5841.5 |  0.0076207425 |
| 5850.8999 |  0.0075029326 |
| 5860.2002 |  0.0073285932 |
| 5869.6001 |  0.0070837555 |
|    5879.0 |  0.0067665596 |
| 5888.3999 |  0.0063827876 |
| 5897.7002 |  0.0059415163 |
| 5907.1001 |  0.0054562902 |
|    5916.5 |  0.0049446002 |
| 5925.7998 |  0.0044257403 |
| 5935.2002 |  0.0039188149 |
| 5944.6001 |  0.0034386658 |
|    5954.0 |  0.0029954978 |
| 5963.2998 |  0.0025947669 |
| 5972.7002 |  0.0022384783 |
| 5982.1001 |   0.001925047 |
|    5991.5 |  0.0016517059 |
| 6000.7998 |   0.001415035 |
| 6010.2002 |  0.0012113472 |
| 6019.6001 |  0.0010354184 |
|    6029.0 | 0.00088329514 |
| 6038.2998 | 0.00075220264 |
| 6047.7002 | 0.00063945947 |
| 6057.1001 | 0.00054278923 |
| 6066.3999 | 0.00046025429 |
| 6075.7998 | 0.00038966513 |
| 6085.2002 | 0.00032950152 |
| 6094.6001 | 0.00027892645 |
| 6103.8999 | 0.00023627789 |
| 6113.2998 |  0.0002005421 |
| 6122.7002 |  0.0001706529 |
| 6132.1001 | 0.00014559721 |
| 6141.3999 | 0.00012452876 |
| 6150.7998 | 0.00010711733 |
| 6160.2002 | 9.2511684e-05 |
| 6169.6001 | 8.0375234e-05 |
| 6178.8999 | 7.0024944e-05 |
| 6188.2998 | 6.1380902e-05 |
| 6197.7002 | 5.4101816e-05 |
| 6207.1001 | 4.7844584e-05 |
| 6216.3999 | 4.2439991e-05 |
| 6225.7998 | 3.7805064e-05 |
| 6235.2002 | 3.3854783e-05 |
|    6244.5 | 3.0503996e-05 |
| 6253.8999 | 2.7668109e-05 |
| 6263.2998 | 2.5087729e-05 |
| 6272.7002 | 2.2937296e-05 |
|    6282.0 | 2.1130771e-05 |
| 6291.3999 | 1.9495385e-05 |
| 6300.7998 | 1.8031376e-05 |
| 6310.2002 | 1.6652009e-05 |
|    6319.5 | 1.5270109e-05 |
| 6328.8999 | 1.4060627e-05 |
| 6338.2998 | 1.3023864e-05 |
| 6347.7002 | 1.2072783e-05 |
|    6357.0 | 1.1119948e-05 |
| 6366.3999 | 1.0165571e-05 |
| 6375.7998 | 9.3849576e-06 |
| 6385.2002 | 8.6907748e-06 |
