# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): g
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  3747.5 AA and  5667.3 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
|    3747.5 | 2.2482054e-07 |
|    3757.2 | 6.7823214e-07 |
|    3767.0 | 1.1936102e-06 |
|    3776.7 | 1.8290023e-06 |
| 3786.3999 | 2.7588408e-06 |
|    3796.2 | 3.9304332e-06 |
| 3805.8999 | 6.3327889e-06 |
|    3815.7 | 1.1560432e-05 |
| 3825.3999 |  2.159112e-05 |
|    3835.2 | 3.9445167e-05 |
| 3844.8999 | 6.9144393e-05 |
|    3854.7 | 0.00011557183 |
| 3864.3999 | 0.00018452674 |
|    3874.2 |  0.0002817653 |
| 3883.8999 | 0.00041033395 |
| 3893.6001 |  0.0005709377 |
| 3903.3999 | 0.00076071761 |
| 3913.1001 | 0.00097426784 |
| 3922.8999 |  0.0012058115 |
| 3932.6001 |   0.001446079 |
| 3942.3999 |  0.0016857302 |
| 3952.1001 |   0.001919423 |
| 3961.8999 |  0.0021441579 |
| 3971.6001 |  0.0023630154 |
|    3981.3 |  0.0025847149 |
| 3991.1001 |  0.0028175365 |
|    4000.8 |  0.0030646697 |
| 4010.6001 |  0.0033154588 |
|    4020.3 |  0.0035549917 |
| 4030.1001 |  0.0037685011 |
|    4039.8 |   0.003944552 |
| 4049.6001 |  0.0040842504 |
|    4059.3 |  0.0042003188 |
| 4069.1001 |  0.0043091569 |
|    4078.8 |  0.0044256574 |
|    4088.5 |  0.0045540095 |
| 4098.2998 |  0.0046879654 |
|    4108.0 |  0.0048199473 |
| 4117.7998 |  0.0049430979 |
|    4127.5 |    0.00504921 |
| 4137.2998 |  0.0051416629 |
|    4147.0 |   0.005226227 |
| 4156.7998 |  0.0053010136 |
|    4166.5 |  0.0053682756 |
| 4176.2002 |  0.0054361233 |
|    4186.0 |  0.0055061746 |
| 4195.7002 |  0.0055769198 |
|    4205.5 |  0.0056466213 |
| 4215.2002 |  0.0057132607 |
|    4225.0 |   0.005773053 |
| 4234.7002 |  0.0058226716 |
|    4244.5 |   0.005866407 |
| 4254.2002 |  0.0059073195 |
|    4264.0 |  0.0059419102 |
| 4273.7002 |  0.0059689102 |
| 4283.3999 |  0.0059909634 |
| 4293.2002 |  0.0060069459 |
| 4302.8999 |  0.0060201073 |
| 4312.7002 |  0.0060384301 |
| 4322.3999 |   0.006067439 |
| 4332.2002 |   0.006107965 |
| 4341.8999 |  0.0061587733 |
| 4351.7002 |  0.0062155467 |
| 4361.3999 |  0.0062717604 |
| 4371.2002 |  0.0063252249 |
| 4380.8999 |  0.0063735633 |
| 4390.6001 |  0.0064142291 |
| 4400.3999 |   0.006450532 |
| 4410.1001 |  0.0064855092 |
| 4419.8999 |  0.0065187304 |
| 4429.6001 |  0.0065464429 |
| 4439.3999 |  0.0065721381 |
| 4449.1001 |  0.0065973201 |
| 4458.8999 |  0.0066184793 |
| 4468.6001 |  0.0066363025 |
| 4478.2998 |  0.0066540977 |
| 4488.1001 |  0.0066723228 |
| 4497.7998 |   0.006691474 |
| 4507.6001 |  0.0067067626 |
| 4517.2998 |  0.0067166304 |
| 4527.1001 |  0.0067266407 |
| 4536.7998 |  0.0067425161 |
| 4546.6001 |  0.0067623756 |
| 4556.2998 |  0.0067870328 |
| 4566.1001 |  0.0068217353 |
| 4575.7998 |  0.0068622869 |
|    4585.5 |  0.0069024372 |
| 4595.2998 |  0.0069397474 |
|    4605.0 |  0.0069735935 |
| 4614.7998 |  0.0070019602 |
|    4624.5 |  0.0070206281 |
| 4634.2998 |  0.0070307879 |
|    4644.0 |  0.0070358794 |
| 4653.7998 |  0.0070386492 |
|    4663.5 |  0.0070382189 |
| 4673.2998 |  0.0070399623 |
|    4683.0 |  0.0070484751 |
| 4692.7002 |  0.0070624575 |
|    4702.5 |   0.007078174 |
| 4712.2002 |  0.0070927283 |
|    4722.0 |  0.0071074972 |
| 4731.7002 |  0.0071212552 |
|    4741.5 |  0.0071322815 |
| 4751.2002 |  0.0071421275 |
|    4761.0 |  0.0071562962 |
| 4770.7002 |  0.0071762209 |
| 4780.3999 |  0.0072015715 |
| 4790.2002 |  0.0072327978 |
| 4799.8999 |  0.0072679007 |
| 4809.7002 |  0.0073018102 |
| 4819.3999 |  0.0073334896 |
| 4829.2002 |  0.0073604784 |
| 4838.8999 |  0.0073783747 |
| 4848.7002 |  0.0073839664 |
| 4858.3999 |  0.0073809307 |
| 4868.2002 |  0.0073726862 |
| 4877.8999 |  0.0073566232 |
| 4887.6001 |  0.0073347972 |
| 4897.3999 |  0.0073129218 |
| 4907.1001 |   0.007293215 |
| 4916.8999 |  0.0072765108 |
| 4926.6001 |  0.0072628693 |
| 4936.3999 |  0.0072528548 |
| 4946.1001 |   0.007247997 |
| 4955.8999 |  0.0072507048 |
| 4965.6001 |  0.0072602862 |
| 4975.3999 |  0.0072757988 |
| 4985.1001 |  0.0072935806 |
| 4994.7998 |  0.0073155612 |
| 5004.6001 |   0.007340102 |
| 5014.2998 |  0.0073640905 |
| 5024.1001 |  0.0073872176 |
| 5033.7998 |  0.0074078981 |
| 5043.6001 |  0.0074308505 |
| 5053.2998 |   0.007455545 |
| 5063.1001 |  0.0074793752 |
| 5072.7998 |  0.0075002667 |
|    5082.5 |  0.0075192498 |
| 5092.2998 |  0.0075389748 |
|    5102.0 |  0.0075568799 |
| 5111.7998 |  0.0075703403 |
|    5121.5 |  0.0075806687 |
| 5131.2998 |  0.0075875861 |
|    5141.0 |  0.0075881863 |
| 5150.7998 |  0.0075816112 |
|    5160.5 |  0.0075699058 |
| 5170.2998 |  0.0075531905 |
|    5180.0 |   0.007530828 |
| 5189.7002 |  0.0075080129 |
|    5199.5 |  0.0074884049 |
| 5209.2002 |  0.0074699889 |
|    5219.0 |  0.0074553746 |
| 5228.7002 |  0.0074471482 |
|    5238.5 |  0.0074446118 |
| 5248.2002 |  0.0074439007 |
|    5258.0 |  0.0074429908 |
| 5267.7002 |  0.0074443226 |
| 5277.3999 |  0.0074467189 |
| 5287.2002 |  0.0074461279 |
| 5296.8999 |  0.0074284524 |
| 5306.7002 |  0.0073635569 |
| 5316.3999 |    0.00725313 |
| 5326.2002 |  0.0070739356 |
| 5335.8999 |  0.0068042013 |
| 5345.7002 |   0.006430299 |
| 5355.3999 |  0.0059498497 |
| 5365.2002 |  0.0053927237 |
| 5374.8999 |  0.0047657914 |
| 5384.6001 |  0.0041046264 |
| 5394.3999 |  0.0034474486 |
| 5404.1001 |  0.0028275743 |
| 5413.8999 |  0.0022706513 |
