# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): i
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  6637.9 AA and  8990.2 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 6637.8999 | 1.7890206e-07 |
| 6650.7998 | 1.0742418e-06 |
| 6663.6001 | 3.3147844e-06 |
|    6676.5 | 8.0692189e-06 |
| 6689.2998 | 1.7676164e-05 |
| 6702.2002 | 3.5469435e-05 |
|    6715.0 | 6.6410146e-05 |
| 6727.8999 | 0.00011709447 |
| 6740.7002 | 0.00019539703 |
| 6753.6001 | 0.00030949007 |
|    6766.5 | 0.00046846992 |
| 6779.2998 | 0.00067929243 |
| 6792.2002 | 0.00094587583 |
|    6805.0 |  0.0012688808 |
| 6817.8999 |  0.0016458281 |
| 6830.7002 |  0.0020701285 |
| 6843.6001 |  0.0025179205 |
| 6856.3999 |  0.0028778487 |
| 6869.2998 |  0.0031605156 |
| 6882.1001 |  0.0035498084 |
|    6895.0 |  0.0040553594 |
| 6907.7998 |  0.0045761857 |
| 6920.7002 |  0.0051278016 |
| 6933.6001 |  0.0057205916 |
| 6946.3999 |  0.0061141956 |
| 6959.2998 |  0.0064786565 |
| 6972.1001 |  0.0068185511 |
|    6985.0 |  0.0071526472 |
| 6997.7998 |  0.0073816329 |
| 7010.7002 |  0.0075762626 |
|    7023.5 |  0.0077406173 |
| 7036.3999 |  0.0078770937 |
| 7049.2002 |  0.0079949135 |
| 7062.1001 |  0.0080938423 |
| 7074.8999 |  0.0081786336 |
| 7087.7998 |  0.0082560349 |
| 7100.7002 |  0.0083259027 |
|    7113.5 |   0.008393148 |
| 7126.3999 |  0.0084566455 |
