# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): r
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  5339.4 AA and  7241.3 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 5339.3999 | 5.7752038e-07 |
|    5349.0 | 2.6419143e-06 |
| 5358.7002 | 7.4355639e-06 |
| 5368.2998 | 1.7196271e-05 |
|    5378.0 | 3.5492034e-05 |
| 5387.6001 | 6.8052635e-05 |
| 5397.2998 | 0.00012128771 |
| 5406.8999 | 0.00020176322 |
| 5416.6001 | 0.00031739997 |
| 5426.2998 | 0.00047464776 |
| 5435.8999 | 0.00067738717 |
| 5445.6001 | 0.00092577853 |
| 5455.2002 |  0.0012160611 |
| 5464.8999 |  0.0015439875 |
|    5474.5 |  0.0019010323 |
| 5484.2002 |  0.0022745237 |
| 5493.7998 |  0.0026540535 |
|    5503.5 |  0.0030329928 |
| 5513.1001 |   0.003405472 |
| 5522.7998 |  0.0037646769 |
|    5532.5 |  0.0041051451 |
| 5542.1001 |  0.0044266549 |
| 5551.7998 |  0.0047304775 |
| 5561.3999 |  0.0050156149 |
| 5571.1001 |    0.00527908 |
| 5580.7002 |  0.0055173519 |
| 5590.3999 |  0.0057325438 |
|    5600.0 |  0.0059267352 |
| 5609.7002 |  0.0060994998 |
| 5619.3999 |  0.0062534581 |
|    5629.0 |  0.0063926703 |
| 5638.7002 |  0.0065150736 |
| 5648.2998 |  0.0066226083 |
|    5658.0 |   0.006721104 |
| 5667.6001 |  0.0068153678 |
| 5677.2998 |  0.0069071278 |
| 5686.8999 |  0.0069954032 |
| 5696.6001 |  0.0070808344 |
| 5706.2002 |  0.0071679014 |
| 5715.8999 |  0.0072528804 |
| 5725.6001 |  0.0073307697 |
| 5735.2002 |  0.0074017821 |
| 5744.8999 |   0.007465804 |
|    5754.5 |  0.0075210771 |
| 5764.2002 |  0.0075665573 |
| 5773.7998 |   0.007602761 |
|    5783.5 |  0.0076330309 |
| 5793.1001 |  0.0076558618 |
| 5802.7998 |  0.0076705436 |
| 5812.3999 |  0.0076804375 |
| 5822.1001 |  0.0076902751 |
| 5831.7998 |  0.0077032456 |
| 5841.3999 |  0.0077197519 |
| 5851.1001 |  0.0077389972 |
| 5860.7002 |  0.0077611916 |
| 5870.3999 |  0.0077857915 |
|    5880.0 |  0.0078117363 |
| 5889.7002 |  0.0078363633 |
| 5899.2998 |  0.0078577613 |
|    5909.0 |  0.0078769922 |
| 5918.6001 |  0.0078937514 |
| 5928.2998 |  0.0079062171 |
|    5938.0 |  0.0079147061 |
| 5947.6001 |  0.0079185916 |
| 5957.2998 |  0.0079188552 |
| 5966.8999 |  0.0079178205 |
| 5976.6001 |  0.0079159588 |
| 5986.2002 |  0.0079144118 |
| 5995.8999 |  0.0079146707 |
|    6005.5 |  0.0079168892 |
| 6015.2002 |  0.0079189362 |
| 6024.7998 |  0.0079194037 |
|    6034.5 |  0.0079159159 |
| 6044.2002 |  0.0079046665 |
| 6053.7998 |  0.0078828689 |
|    6063.5 |  0.0078482982 |
| 6073.1001 |  0.0078030531 |
| 6082.7998 |  0.0077500287 |
| 6092.3999 |  0.0076910001 |
| 6102.1001 |   0.007630127 |
| 6111.7002 |  0.0075732199 |
| 6121.3999 |  0.0075222687 |
| 6131.1001 |  0.0074819336 |
| 6140.7002 |  0.0074535464 |
| 6150.3999 |  0.0074369386 |
|    6160.0 |  0.0074318298 |
