# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www.naoj.org/Observing/Instruments/SCam/sensitivity.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  7914.9 AA and 10725.7 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3:
# 
|    lambda |          pass |
| 7914.8999 | 1.6872008e-06 |
| 7929.2002 | 4.8754678e-06 |
| 7943.3999 | 8.7219523e-06 |
| 7957.7002 | 1.2195308e-05 |
|    7972.0 | 1.6327411e-05 |
| 7986.2002 | 2.1118762e-05 |
|    8000.5 | 2.5818872e-05 |
| 8014.7998 | 2.9206776e-05 |
|    8029.0 | 3.3160097e-05 |
| 8043.2998 | 3.7867336e-05 |
| 8057.6001 |  4.248316e-05 |
| 8071.7998 | 4.8135575e-05 |
| 8086.1001 | 5.4261363e-05 |
| 8100.3999 | 6.2554012e-05 |
| 8114.7002 | 7.1413997e-05 |
| 8128.8999 | 8.0840575e-05 |
| 8143.2002 | 9.1182999e-05 |
|    8157.5 | 0.00010248155 |
| 8171.7002 | 0.00011771598 |
|    8186.0 | 0.00013736059 |
| 8200.2998 | 0.00016099523 |
|    8214.5 | 0.00018581895 |
| 8228.7998 | 0.00021089544 |
| 8243.0996 |  0.0002499526 |
| 8257.2998 | 0.00030108049 |
| 8271.5996 | 0.00035298034 |
| 8285.9004 | 0.00041436526 |
| 8300.0996 | 0.00049093249 |
| 8314.4004 | 0.00058673602 |
| 8328.7002 | 0.00070487644 |
| 8342.9004 | 0.00084395899 |
| 8357.2002 |  0.0010165973 |
|    8371.5 |  0.0012276086 |
| 8385.7002 |  0.0014685339 |
|    8400.0 |  0.0017551569 |
| 8414.2998 |  0.0020827136 |
| 8428.5996 |  0.0024571961 |
| 8442.7998 |  0.0029019017 |
| 8457.0996 |  0.0033647497 |
| 8471.4004 |  0.0038525094 |
| 8485.5996 |  0.0043761577 |
| 8499.9004 |  0.0049124504 |
| 8514.2002 |  0.0054348069 |
| 8528.4004 |  0.0059741531 |
| 8542.7002 |  0.0065060942 |
|    8557.0 |   0.007034786 |
| 8571.2002 |  0.0074450215 |
|    8585.5 |  0.0077879811 |
| 8599.7998 |  0.0081574591 |
|    8614.0 |  0.0084586646 |
| 8628.2998 |  0.0086682867 |
| 8642.5996 |  0.0087953685 |
| 8656.7998 |  0.0088992668 |
| 8671.0996 |  0.0090389289 |
| 8685.4004 |   0.009129256 |
| 8699.5996 |  0.0091509791 |
| 8713.9004 |  0.0091736643 |
| 8728.2002 |  0.0091800494 |
|    8742.5 |  0.0091607384 |
| 8756.7002 |  0.0091252895 |
|    8771.0 |  0.0090850014 |
| 8785.2998 |  0.0090374937 |
|    8799.5 |  0.0089950832 |
| 8813.7998 |  0.0089572258 |
| 8828.0996 |  0.0089403307 |
| 8842.2998 |  0.0089459177 |
| 8856.5996 |  0.0089554098 |
| 8870.9004 |  0.0089677507 |
| 8885.0996 |  0.0089897737 |
| 8899.4004 |  0.0090084877 |
| 8913.7002 |  0.0088787125 |
| 8927.9004 |  0.0088117747 |
| 8942.2002 |  0.0087548662 |
|    8956.5 |  0.0087015862 |
| 8970.7002 |   0.008350187 |
|    8985.0 |  0.0080683613 |
| 8999.2998 |  0.0078708064 |
|    9013.5 |  0.0078918878 |
| 9027.7998 |  0.0080514075 |
| 9042.0996 |  0.0085123572 |
| 9056.4004 |  0.0086536491 |
| 9070.5996 |  0.0082113994 |
| 9084.9004 |   0.008068338 |
| 9099.2002 |  0.0080586486 |
| 9113.4004 |  0.0080492459 |
| 9127.7002 |  0.0080408892 |
|    9142.0 |  0.0080359876 |
| 9156.2002 |  0.0080290651 |
|    9170.5 |  0.0081061693 |
| 9184.7998 |  0.0082129044 |
|    9199.0 |  0.0083453245 |
| 9213.2998 |  0.0085447151 |
| 9227.5996 |  0.0081703234 |
| 9241.7998 |  0.0083070239 |
| 9256.0996 |  0.0084281089 |
| 9270.4004 |  0.0084068775 |
| 9284.5996 |  0.0083963424 |
| 9298.9004 |  0.0070443498 |
| 9313.2002 |  0.0062952181 |
| 9327.4004 |  0.0058065248 |
| 9341.7002 |  0.0054301834 |
|    9356.0 |  0.0053853383 |
| 9370.2998 |  0.0056510111 |
|    9384.5 |  0.0060760216 |
| 9398.7998 |  0.0073134834 |
| 9413.0996 |   0.007489691 |
| 9427.2998 |  0.0070804213 |
| 9441.5996 |  0.0067497073 |
| 9455.9004 |  0.0065116594 |
| 9470.0996 |  0.0065681883 |
| 9484.4004 |  0.0066243308 |
| 9498.7002 |  0.0066832975 |
| 9512.9004 |  0.0067456095 |
| 9527.2002 |  0.0068167332 |
|    9541.5 |  0.0068982779 |
| 9555.7002 |  0.0069921184 |
|    9570.0 |  0.0070973649 |
| 9584.2998 |  0.0072147101 |
|    9598.5 |  0.0073449179 |
| 9612.7998 |  0.0074762013 |
| 9627.0996 |  0.0076021054 |
| 9641.2998 |  0.0077375034 |
| 9655.5996 |  0.0078901229 |
| 9669.9004 |  0.0080666738 |
| 9684.2002 |  0.0082707256 |
| 9698.4004 |  0.0085664093 |
| 9712.7002 |  0.0090527255 |
|    9727.0 |  0.0090371789 |
| 9741.2002 |  0.0089967418 |
|    9755.5 |  0.0089343861 |
| 9769.7998 |  0.0088355495 |
|    9784.0 |  0.0086725494 |
| 9798.2998 |  0.0084363772 |
| 9812.5996 |  0.0080918642 |
| 9826.7998 |  0.0076425108 |
| 9841.0996 |  0.0071152053 |
| 9855.4004 |  0.0065131718 |
| 9869.5996 |  0.0058532804 |
| 9883.9004 |  0.0051619867 |
| 9898.2002 |  0.0044777775 |
| 9912.4004 |  0.0038350471 |
| 9926.7002 |  0.0032535454 |
|    9941.0 |  0.0027265775 |
| 9955.2002 |  0.0022666105 |
|    9969.5 |  0.0018727995 |
| 9983.7998 |  0.0015422825 |
| 9998.0996 |  0.0012714311 |
|   10012.3 |  0.0010512471 |
|   10026.6 | 0.00087579963 |
|   10040.9 | 0.00072995014 |
|   10055.1 | 0.00061475945 |
|   10069.4 | 0.00052534504 |
|   10083.7 | 0.00045586284 |
|   10097.9 | 0.00039432972 |
|   10112.2 | 0.00034506366 |
|   10126.5 | 0.00030451833 |
|   10140.7 | 0.00026713224 |
|   10155.0 | 0.00023165939 |
|   10169.3 | 0.00020030646 |
|   10183.5 |  0.0001732661 |
|   10197.8 | 0.00015073137 |
|   10212.1 | 0.00013548581 |
|   10226.3 | 0.00012004603 |
|   10240.6 |  0.0001086347 |
|   10254.9 | 0.00010029288 |
|   10269.1 | 9.2621667e-05 |
|   10283.4 | 8.9172841e-05 |
|   10297.7 | 8.2843668e-05 |
|   10312.0 | 8.0929669e-05 |
|   10326.2 | 7.9015343e-05 |
|   10340.5 | 7.4988428e-05 |
|   10354.8 |  6.990468e-05 |
|   10369.0 | 6.3571766e-05 |
|   10383.3 |  6.415262e-05 |
|   10397.6 | 5.9931364e-05 |
|   10411.8 | 5.7918634e-05 |
|   10426.1 | 5.3408134e-05 |
|   10440.4 | 5.3604159e-05 |
|   10454.6 | 5.8219477e-05 |
|   10468.9 | 6.2643347e-05 |
|   10483.2 | 6.2071391e-05 |
|   10497.4 | 5.4388467e-05 |
|   10511.7 | 5.5833927e-05 |
|   10526.0 | 5.9874477e-05 |
|   10540.2 | 6.5261178e-05 |
|   10554.5 | 6.3439642e-05 |
|   10568.8 | 5.9887538e-05 |
|   10583.0 | 5.6527158e-05 |
|   10597.3 | 5.5569861e-05 |
|   10611.6 |  5.980445e-05 |
|   10625.9 | 5.4904867e-05 |
|   10640.1 | 4.4811768e-05 |
|   10654.4 | 3.4813394e-05 |
|   10668.7 | 2.6352391e-05 |
|   10682.9 | 2.0006182e-05 |
|   10697.2 |   1.32743e-05 |
|   10711.5 | 8.2729921e-06 |
|   10725.7 | 3.4633636e-06 |
