# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Br gamma
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 21210.0 AA and 22590.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 22590.0 | 0.00063969311 |
| 22580.0 | 0.00069076545 |
| 22570.0 | 0.00074544561 |
| 22560.0 | 0.00080306485 |
| 22550.0 | 0.00082334701 |
| 22540.0 | 0.00090105948 |
| 22530.0 | 0.00096601417 |
| 22520.0 |  0.0010297401 |
| 22510.0 |  0.0010931863 |
| 22500.0 |  0.0012004678 |
| 22490.0 |  0.0012758779 |
| 22480.0 |  0.0013747282 |
| 22470.0 |   0.001533913 |
| 22460.0 |   0.001616157 |
| 22450.0 |  0.0017643169 |
| 22440.0 |  0.0019389181 |
| 22430.0 |  0.0020450994 |
| 22420.0 |     0.0022519 |
| 22410.0 |   0.002440847 |
| 22400.0 |  0.0026605565 |
| 22390.0 |   0.002903339 |
| 22380.0 |  0.0031759923 |
| 22370.0 |  0.0034743478 |
| 22360.0 |  0.0038167019 |
| 22350.0 |   0.004204582 |
| 22340.0 |   0.004644441 |
| 22330.0 |  0.0051074377 |
| 22320.0 |   0.005647968 |
| 22310.0 |  0.0061985156 |
| 22300.0 |  0.0069046244 |
| 22290.0 |  0.0076804021 |
| 22280.0 |  0.0085366629 |
| 22270.0 |  0.0095135374 |
| 22260.0 |   0.010601147 |
| 22250.0 |   0.011857545 |
| 22240.0 |   0.013303505 |
| 22230.0 |    0.01497743 |
| 22220.0 |   0.016824093 |
| 22210.0 |   0.019005815 |
| 22200.0 |   0.021483548 |
| 22190.0 |   0.024287313 |
| 22180.0 |   0.027556404 |
| 22170.0 |    0.03137834 |
| 22160.0 |   0.035934441 |
| 22150.0 |   0.040849745 |
| 22140.0 |   0.046780486 |
| 22130.0 |   0.053548407 |
| 22120.0 |   0.060986977 |
| 22110.0 |   0.070502095 |
| 22100.0 |   0.081048876 |
| 22090.0 |   0.093159057 |
| 22080.0 |    0.10712842 |
| 22070.0 |    0.12292175 |
| 22060.0 |     0.1408866 |
| 22050.0 |    0.16137847 |
| 22040.0 |    0.18564723 |
| 22030.0 |      0.211336 |
| 22020.0 |    0.24079093 |
| 22010.0 |    0.27273113 |
| 22000.0 |    0.30707741 |
| 21990.0 |    0.34492168 |
| 21980.0 |    0.38508096 |
| 21970.0 |    0.42860651 |
| 21960.0 |    0.47009489 |
| 21950.0 |    0.51478302 |
| 21940.0 |    0.55868626 |
| 21930.0 |    0.59996265 |
| 21920.0 |    0.64303124 |
| 21910.0 |    0.68197465 |
| 21900.0 |    0.71807659 |
| 21890.0 |    0.75017929 |
| 21880.0 |    0.77854764 |
| 21870.0 |    0.80241132 |
| 21860.0 |    0.82202083 |
| 21850.0 |    0.83777779 |
| 21840.0 |     0.8481915 |
| 21830.0 |    0.85394871 |
| 21820.0 |    0.85449123 |
| 21810.0 |    0.84985691 |
| 21800.0 |    0.83974159 |
| 21790.0 |    0.82383436 |
| 21780.0 |    0.80184835 |
| 21770.0 |    0.77643514 |
| 21760.0 |    0.74492711 |
| 21750.0 |    0.70896965 |
| 21740.0 |    0.67075604 |
| 21730.0 |    0.62646586 |
| 21720.0 |    0.58039892 |
| 21710.0 |    0.53328216 |
| 21700.0 |    0.48557207 |
| 21690.0 |    0.43855053 |
| 21680.0 |    0.39272085 |
| 21670.0 |    0.34867647 |
| 21660.0 |    0.30565882 |
| 21650.0 |    0.26751295 |
| 21640.0 |    0.23273107 |
| 21630.0 |       0.20114 |
| 21620.0 |    0.17364785 |
| 21610.0 |     0.1490044 |
| 21600.0 |    0.12740351 |
| 21590.0 |    0.10826269 |
| 21580.0 |   0.092959926 |
| 21570.0 |   0.079226866 |
| 21560.0 |   0.067565963 |
| 21550.0 |   0.058052991 |
| 21540.0 |   0.049319677 |
| 21530.0 |   0.042240746 |
| 21520.0 |   0.036247011 |
| 21510.0 |   0.031116087 |
| 21500.0 |   0.026859857 |
| 21490.0 |   0.023209047 |
| 21480.0 |   0.020071255 |
| 21470.0 |   0.017305469 |
| 21460.0 |   0.015062685 |
| 21450.0 |   0.013094724 |
| 21440.0 |   0.011454448 |
| 21430.0 |   0.010059898 |
| 21420.0 |  0.0088097658 |
| 21410.0 |  0.0077088433 |
| 21400.0 |  0.0068095122 |
| 21390.0 |  0.0060123764 |
| 21380.0 |  0.0053053461 |
| 21370.0 |  0.0046968143 |
| 21360.0 |  0.0042093457 |
| 21350.0 |  0.0037334289 |
| 21340.0 |  0.0033130117 |
| 21330.0 |  0.0029624447 |
| 21320.0 |  0.0026443717 |
| 21310.0 |  0.0023958515 |
| 21300.0 |  0.0021322693 |
| 21290.0 |  0.0019404659 |
| 21280.0 |  0.0017476906 |
| 21270.0 |   0.001587483 |
| 21260.0 |  0.0014152306 |
| 21250.0 |  0.0012985501 |
| 21240.0 |  0.0011738535 |
| 21230.0 |  0.0010443904 |
| 21220.0 | 0.00096508709 |
| 21210.0 | 0.00090648036 |
