# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): H
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 13010.0 AA and 19990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 19990.0 | 0.00041520016 |
| 19980.0 | 0.00046962718 |
| 19970.0 |  0.0004246087 |
| 19960.0 | 0.00043893183 |
| 19950.0 |  0.0004829363 |
| 19940.0 |  0.0004582387 |
| 19930.0 | 0.00048347923 |
| 19920.0 | 0.00049777696 |
| 19910.0 | 0.00050576334 |
| 19900.0 | 0.00050697126 |
| 19890.0 |  0.0005193766 |
| 19880.0 | 0.00051381288 |
| 19870.0 | 0.00053413794 |
| 19860.0 | 0.00053094624 |
| 19850.0 | 0.00059164321 |
| 19840.0 | 0.00056874141 |
| 19830.0 | 0.00060787541 |
| 19820.0 | 0.00063174334 |
| 19810.0 | 0.00062016788 |
| 19800.0 | 0.00066331512 |
| 19790.0 | 0.00066516083 |
| 19780.0 |  0.0006642791 |
| 19770.0 | 0.00068423321 |
| 19760.0 | 0.00071565708 |
| 19750.0 |  0.0007822793 |
| 19740.0 | 0.00077775639 |
| 19730.0 | 0.00078463298 |
| 19720.0 | 0.00077477557 |
| 19710.0 | 0.00082126114 |
| 19700.0 | 0.00084474316 |
| 19690.0 |  0.0008644255 |
| 19680.0 | 0.00088318152 |
| 19670.0 | 0.00087284751 |
| 19660.0 |  0.0009053009 |
| 19650.0 | 0.00092996552 |
| 19640.0 | 0.00095901522 |
| 19630.0 | 0.00099953229 |
| 19620.0 |  0.0010109098 |
| 19610.0 |  0.0010463281 |
| 19600.0 |   0.001052006 |
| 19590.0 |  0.0011024041 |
| 19580.0 |  0.0011048161 |
| 19570.0 |  0.0011617377 |
| 19560.0 |  0.0011619455 |
| 19550.0 |  0.0011865493 |
| 19540.0 |  0.0012256936 |
| 19530.0 |  0.0012425531 |
| 19520.0 |   0.001278374 |
| 19510.0 |  0.0013195428 |
| 19500.0 |  0.0013199869 |
| 19490.0 |  0.0013506967 |
| 19480.0 |  0.0014072576 |
| 19470.0 |   0.001430889 |
