# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): H2
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 21010.0 AA and 21990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 21990.0 | 0.00018398609 |
| 21980.0 |  0.0002066208 |
| 21970.0 | 0.00021137885 |
| 21960.0 | 0.00024405577 |
| 21950.0 | 0.00027075832 |
| 21940.0 |  0.0003024138 |
| 21930.0 | 0.00033124967 |
| 21920.0 | 0.00036370941 |
| 21910.0 | 0.00039574612 |
| 21900.0 | 0.00044714208 |
| 21890.0 | 0.00048320103 |
| 21880.0 | 0.00055174693 |
| 21870.0 | 0.00060569635 |
| 21860.0 | 0.00068667781 |
| 21850.0 | 0.00078783778 |
| 21840.0 | 0.00088166696 |
| 21830.0 |  0.0010003265 |
| 21820.0 |   0.001138697 |
| 21810.0 |  0.0013319966 |
| 21800.0 |  0.0015397037 |
| 21790.0 |  0.0018038512 |
| 21780.0 |  0.0020890352 |
| 21770.0 |  0.0024346178 |
| 21760.0 |  0.0028609273 |
| 21750.0 |   0.003378601 |
| 21740.0 |  0.0039537363 |
| 21730.0 |  0.0047405483 |
| 21720.0 |   0.005678297 |
| 21710.0 |  0.0068031722 |
| 21700.0 |  0.0082516288 |
| 21690.0 |  0.0099470774 |
| 21680.0 |   0.012147641 |
| 21670.0 |   0.014921622 |
| 21660.0 |   0.018587392 |
| 21650.0 |   0.022967108 |
| 21640.0 |    0.02866054 |
| 21630.0 |   0.035969917 |
| 21620.0 |   0.044967763 |
| 21610.0 |   0.056859292 |
| 21600.0 |    0.07178688 |
| 21590.0 |   0.090696245 |
| 21580.0 |    0.11300933 |
| 21570.0 |    0.14076445 |
| 21560.0 |    0.17407107 |
| 21550.0 |     0.2116085 |
| 21540.0 |    0.25732526 |
| 21530.0 |    0.30623716 |
| 21520.0 |    0.35875338 |
| 21510.0 |    0.41435477 |
| 21500.0 |    0.47068191 |
| 21490.0 |    0.52681565 |
| 21480.0 |    0.58181959 |
| 21470.0 |    0.63451809 |
| 21460.0 |    0.67889524 |
| 21450.0 |    0.71909285 |
| 21440.0 |    0.75067872 |
| 21430.0 |    0.77335262 |
| 21420.0 |    0.78753209 |
| 21410.0 |    0.79110634 |
| 21400.0 |    0.78379136 |
| 21390.0 |    0.76609981 |
| 21380.0 |    0.73759955 |
| 21370.0 |    0.69945455 |
| 21360.0 |    0.65372121 |
| 21350.0 |    0.59785765 |
| 21340.0 |    0.53878671 |
| 21330.0 |    0.47752398 |
| 21320.0 |    0.41489249 |
| 21310.0 |    0.35542944 |
| 21300.0 |     0.2993609 |
| 21290.0 |    0.24689597 |
| 21280.0 |    0.20003711 |
| 21270.0 |    0.16230789 |
| 21260.0 |    0.12889919 |
| 21250.0 |    0.10186434 |
| 21240.0 |   0.080692649 |
| 21230.0 |    0.06274458 |
| 21220.0 |   0.049058583 |
| 21210.0 |   0.038365848 |
| 21200.0 |   0.030265706 |
| 21190.0 |   0.023902675 |
| 21180.0 |   0.018958151 |
| 21170.0 |   0.015231755 |
| 21160.0 |   0.012124271 |
| 21150.0 |  0.0097531341 |
| 21140.0 |  0.0079233795 |
| 21130.0 |  0.0064612669 |
| 21120.0 |  0.0053205052 |
| 21110.0 |  0.0043951115 |
| 21100.0 |  0.0036356428 |
| 21090.0 |  0.0030284016 |
| 21080.0 |  0.0025434666 |
| 21070.0 |  0.0021389371 |
| 21060.0 |   0.001820964 |
| 21050.0 |   0.001552457 |
| 21040.0 |  0.0013129003 |
| 21030.0 |  0.0011318994 |
| 21020.0 | 0.00096370227 |
| 21010.0 |  0.0008456285 |
