# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): J
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 11010.0 AA and 13990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 13990.0 |    0.00158672 |
| 13980.0 |  0.0016619932 |
| 13970.0 |  0.0017324524 |
| 13960.0 |  0.0018401222 |
| 13950.0 |  0.0019656462 |
| 13940.0 |  0.0020737264 |
| 13930.0 |  0.0021738245 |
| 13920.0 |  0.0023186088 |
| 13910.0 |  0.0024599817 |
| 13900.0 |   0.002629752 |
| 13890.0 |  0.0027287002 |
| 13880.0 |  0.0029245897 |
| 13870.0 |  0.0031164035 |
| 13860.0 |  0.0033108382 |
| 13850.0 |  0.0035081771 |
| 13840.0 |  0.0037247124 |
| 13830.0 |  0.0039810031 |
| 13820.0 |  0.0042388807 |
| 13810.0 |  0.0045843925 |
| 13800.0 |   0.004901472 |
| 13790.0 |  0.0052381549 |
| 13780.0 |  0.0056052902 |
| 13770.0 |  0.0060021672 |
| 13760.0 |   0.006430116 |
| 13750.0 |  0.0069372705 |
| 13740.0 |  0.0074384967 |
| 13730.0 |  0.0079933126 |
| 13720.0 |  0.0086107878 |
| 13710.0 |  0.0093069486 |
| 13700.0 |   0.010098432 |
| 13690.0 |   0.010886969 |
| 13680.0 |   0.011850675 |
| 13670.0 |   0.012875265 |
| 13660.0 |   0.013902517 |
| 13650.0 |   0.015161329 |
| 13640.0 |    0.01645728 |
| 13630.0 |   0.017954249 |
| 13620.0 |   0.019630488 |
| 13610.0 |   0.021624636 |
| 13600.0 |   0.023823503 |
| 13590.0 |   0.025950469 |
| 13580.0 |   0.028418461 |
| 13570.0 |   0.031250261 |
| 13560.0 |   0.034466397 |
| 13550.0 |   0.038078442 |
| 13540.0 |   0.042275384 |
| 13530.0 |   0.046767123 |
| 13520.0 |   0.051609248 |
| 13510.0 |   0.057396095 |
| 13500.0 |   0.063806459 |
| 13490.0 |   0.071173131 |
| 13480.0 |   0.079201289 |
| 13470.0 |   0.088701583 |
| 13460.0 |    0.09918911 |
| 13450.0 |    0.11023394 |
| 13440.0 |    0.12413214 |
| 13430.0 |    0.13920918 |
| 13420.0 |    0.15604088 |
| 13410.0 |    0.17505552 |
| 13400.0 |    0.19616185 |
| 13390.0 |    0.21972895 |
| 13380.0 |    0.24605815 |
| 13370.0 |    0.27643177 |
| 13360.0 |    0.30787605 |
| 13350.0 |     0.3429811 |
| 13340.0 |    0.38012496 |
| 13330.0 |     0.4188782 |
| 13320.0 |    0.46041071 |
