# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): K
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between 19010.0 AA and 25990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 25990.0 | 0.00012558079 |
| 25980.0 |  0.0001269198 |
| 25970.0 | 0.00011672354 |
| 25960.0 | 0.00013941433 |
| 25950.0 | 0.00015165887 |
| 25940.0 | 0.00012757919 |
| 25930.0 | 0.00014499258 |
| 25920.0 | 0.00013551631 |
| 25910.0 | 0.00014310282 |
| 25900.0 | 0.00014608643 |
| 25890.0 | 0.00017048232 |
| 25880.0 | 0.00011242594 |
| 25870.0 | 0.00015199675 |
| 25860.0 | 0.00015187026 |
| 25850.0 | 0.00013665968 |
| 25840.0 |  0.0001681432 |
| 25830.0 | 0.00016216616 |
| 25820.0 | 0.00017372014 |
| 25810.0 | 0.00016602597 |
| 25800.0 | 0.00016647713 |
| 25790.0 | 0.00016613278 |
| 25780.0 | 0.00017136143 |
| 25770.0 | 0.00017100715 |
| 25760.0 | 0.00016499205 |
| 25750.0 | 0.00019333675 |
| 25740.0 | 0.00018156656 |
| 25730.0 | 0.00018647031 |
| 25720.0 | 0.00018097668 |
| 25710.0 |  0.0001852023 |
| 25700.0 | 0.00021924327 |
| 25690.0 | 0.00020991992 |
| 25680.0 | 0.00021145403 |
| 25670.0 | 0.00020498599 |
| 25660.0 | 0.00022174446 |
| 25650.0 | 0.00023583682 |
| 25640.0 | 0.00024433734 |
| 25630.0 | 0.00025574275 |
| 25620.0 |  0.0002703527 |
| 25610.0 | 0.00025075584 |
| 25600.0 | 0.00027280624 |
| 25590.0 | 0.00028019291 |
| 25580.0 | 0.00026042524 |
| 25570.0 |  0.0002893515 |
| 25560.0 | 0.00028823846 |
| 25550.0 | 0.00030245216 |
| 25540.0 | 0.00028704791 |
| 25530.0 | 0.00030670664 |
| 25520.0 | 0.00031015751 |
| 25510.0 | 0.00033912651 |
| 25500.0 | 0.00034913508 |
| 25490.0 | 0.00034889989 |
| 25480.0 | 0.00035271028 |
| 25470.0 | 0.00037888059 |
| 25460.0 | 0.00037678657 |
| 25450.0 | 0.00037231768 |
| 25440.0 | 0.00041756133 |
| 25430.0 | 0.00041304468 |
| 25420.0 | 0.00041103823 |
| 25410.0 | 0.00046179738 |
| 25400.0 | 0.00046970876 |
| 25390.0 | 0.00049767352 |
| 25380.0 | 0.00048821952 |
| 25370.0 | 0.00051028136 |
| 25360.0 | 0.00052383001 |
| 25350.0 | 0.00053537282 |
| 25340.0 | 0.00053661171 |
| 25330.0 | 0.00058060128 |
| 25320.0 | 0.00059402775 |
| 25310.0 | 0.00061372272 |
| 25300.0 | 0.00064662803 |
| 25290.0 | 0.00067328621 |
| 25280.0 | 0.00068558543 |
| 25270.0 | 0.00071518827 |
| 25260.0 | 0.00074163679 |
| 25250.0 | 0.00075608329 |
| 25240.0 | 0.00079580251 |
| 25230.0 | 0.00084389013 |
| 25220.0 | 0.00086294475 |
| 25210.0 | 0.00090109406 |
| 25200.0 | 0.00090778392 |
| 25190.0 | 0.00094285113 |
| 25180.0 |  0.0010037874 |
| 25170.0 |  0.0010482357 |
| 25160.0 |  0.0010959896 |
| 25150.0 |  0.0011143389 |
| 25140.0 |   0.001183695 |
| 25130.0 |  0.0012322022 |
| 25120.0 |  0.0013115489 |
| 25110.0 |  0.0013377251 |
| 25100.0 |  0.0013999715 |
| 25090.0 |  0.0014347505 |
| 25080.0 |   0.001529051 |
| 25070.0 |  0.0015871942 |
| 25060.0 |   0.001645041 |
| 25050.0 |   0.001739499 |
| 25040.0 |  0.0018038719 |
| 25030.0 |  0.0018826688 |
| 25020.0 |  0.0020028518 |
| 25010.0 |  0.0020858496 |
| 25000.0 |  0.0021792804 |
| 24990.0 |  0.0022709467 |
| 24980.0 |  0.0023892389 |
| 24970.0 |  0.0025103013 |
| 24960.0 |  0.0026602887 |
| 24950.0 |  0.0027525143 |
| 24940.0 |   0.002912102 |
| 24930.0 |  0.0030500048 |
| 24920.0 |  0.0032328283 |
| 24910.0 |  0.0033748688 |
| 24900.0 |  0.0035603719 |
| 24890.0 |  0.0037484861 |
| 24880.0 |  0.0039346726 |
| 24870.0 |   0.004154393 |
| 24860.0 |  0.0043760734 |
| 24850.0 |  0.0046332404 |
| 24840.0 |  0.0048910882 |
| 24830.0 |  0.0051830783 |
| 24820.0 |  0.0054338686 |
| 24810.0 |  0.0057405522 |
| 24800.0 |   0.006055553 |
| 24790.0 |  0.0064149187 |
| 24780.0 |  0.0067549315 |
| 24770.0 |  0.0071695903 |
| 24760.0 |  0.0075660893 |
| 24750.0 |   0.008005443 |
| 24740.0 |   0.008486432 |
| 24730.0 |  0.0089985048 |
| 24720.0 |  0.0095550148 |
| 24710.0 |   0.010130101 |
| 24700.0 |   0.010792988 |
| 24690.0 |    0.01142192 |
| 24680.0 |   0.012127128 |
| 24670.0 |   0.012833903 |
| 24660.0 |   0.013598321 |
| 24650.0 |    0.01445358 |
| 24640.0 |   0.015335131 |
| 24630.0 |   0.016314093 |
| 24620.0 |   0.017326226 |
| 24610.0 |    0.01840244 |
| 24600.0 |   0.019560272 |
| 24590.0 |   0.020730542 |
| 24580.0 |   0.022075839 |
| 24570.0 |   0.023509657 |
| 24560.0 |   0.024938077 |
| 24550.0 |   0.026482748 |
| 24540.0 |   0.028176371 |
| 24530.0 |   0.029928233 |
| 24520.0 |   0.031852864 |
| 24510.0 |   0.033912923 |
| 24500.0 |   0.036003973 |
| 24490.0 |   0.038291536 |
| 24480.0 |   0.040730737 |
| 24470.0 |   0.043230701 |
| 24460.0 |   0.045924988 |
| 24450.0 |   0.048846588 |
