# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Y
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  9010.0 AA and 11990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
|  lambda |          pass |
| 11990.0 | 0.00013532337 |
| 11980.0 | 0.00014524294 |
| 11970.0 | 0.00010587703 |
| 11960.0 | 0.00011438853 |
| 11950.0 | 0.00010557541 |
| 11940.0 | 0.00010131649 |
| 11930.0 |   0.000115397 |
| 11920.0 | 9.9513032e-05 |
| 11910.0 | 0.00014668176 |
| 11900.0 |  0.0001224817 |
| 11890.0 | 0.00011332414 |
| 11880.0 | 0.00013593455 |
| 11870.0 | 0.00016012501 |
| 11860.0 | 0.00015031584 |
| 11850.0 |  0.0001590077 |
| 11840.0 | 0.00013860931 |
| 11830.0 | 0.00014548659 |
| 11820.0 | 0.00016374682 |
| 11810.0 | 0.00015670169 |
| 11800.0 | 0.00012588923 |
| 11790.0 | 0.00016068044 |
| 11780.0 | 0.00012184006 |
| 11770.0 | 0.00015346808 |
| 11760.0 | 0.00012685906 |
| 11750.0 |  0.0001429378 |
| 11740.0 | 0.00017321862 |
| 11730.0 |  0.0001584025 |
| 11720.0 | 0.00022413033 |
| 11710.0 | 0.00015151678 |
| 11700.0 | 0.00017208427 |
| 11690.0 | 0.00018471832 |
| 11680.0 | 0.00022970881 |
| 11670.0 |  0.0002206155 |
| 11660.0 | 0.00016316328 |
| 11650.0 | 0.00019761942 |
| 11640.0 | 0.00021950199 |
| 11630.0 | 0.00022729635 |
| 11620.0 | 0.00025713295 |
| 11610.0 | 0.00026528563 |
| 11600.0 | 0.00026652226 |
| 11590.0 | 0.00022069748 |
| 11580.0 | 0.00026171614 |
| 11570.0 | 0.00031983195 |
| 11560.0 | 0.00031278527 |
| 11550.0 |  0.0003039666 |
| 11540.0 | 0.00034985464 |
| 11530.0 |  0.0003198075 |
| 11520.0 | 0.00036327241 |
| 11510.0 | 0.00034329365 |
| 11500.0 | 0.00036004416 |
| 11490.0 | 0.00044101148 |
| 11480.0 | 0.00043333042 |
| 11470.0 | 0.00047346434 |
| 11460.0 | 0.00050247554 |
| 11450.0 | 0.00054187758 |
| 11440.0 | 0.00052618462 |
| 11430.0 | 0.00057490944 |
| 11420.0 | 0.00062430958 |
| 11410.0 | 0.00065053214 |
| 11400.0 | 0.00070914289 |
| 11390.0 | 0.00072994328 |
| 11380.0 | 0.00081902475 |
| 11370.0 | 0.00085710094 |
| 11360.0 | 0.00088059518 |
| 11350.0 | 0.00098929845 |
| 11340.0 |  0.0010601787 |
| 11330.0 |  0.0011166751 |
| 11320.0 |  0.0012335599 |
| 11310.0 |  0.0013410333 |
| 11300.0 |   0.001450702 |
| 11290.0 |  0.0015516211 |
| 11280.0 |  0.0017031743 |
| 11270.0 |  0.0019073029 |
| 11260.0 |  0.0020192089 |
| 11250.0 |  0.0022437251 |
| 11240.0 |  0.0024274508 |
| 11230.0 |   0.002693336 |
| 11220.0 |  0.0029656631 |
| 11210.0 |  0.0032877075 |
| 11200.0 |  0.0036231398 |
| 11190.0 |  0.0040114508 |
| 11180.0 |  0.0044516413 |
| 11170.0 |   0.004949721 |
| 11160.0 |  0.0055472502 |
| 11150.0 |  0.0062213158 |
| 11140.0 |   0.006952228 |
| 11130.0 |  0.0078002266 |
| 11120.0 |  0.0087633831 |
| 11110.0 |  0.0098990081 |
| 11100.0 |   0.011255848 |
| 11090.0 |   0.012825564 |
| 11080.0 |   0.014552331 |
| 11070.0 |   0.016692635 |
| 11060.0 |   0.019097086 |
| 11050.0 |    0.02184193 |
| 11040.0 |   0.025251945 |
| 11030.0 |   0.029213211 |
| 11020.0 |   0.034019161 |
| 11010.0 |   0.039481886 |
| 11000.0 |   0.046070106 |
| 10990.0 |   0.053921878 |
| 10980.0 |   0.063037172 |
| 10970.0 |   0.074671462 |
| 10960.0 |   0.088135689 |
| 10950.0 |    0.10395181 |
| 10940.0 |    0.12327894 |
| 10930.0 |    0.14574128 |
| 10920.0 |    0.17226583 |
| 10910.0 |    0.20404512 |
| 10900.0 |    0.24174058 |
| 10890.0 |    0.28245211 |
| 10880.0 |    0.33023688 |
| 10870.0 |    0.38182539 |
| 10860.0 |    0.43501857 |
| 10850.0 |    0.49305171 |
| 10840.0 |    0.55011696 |
| 10830.0 |     0.6054852 |
| 10820.0 |    0.65399826 |
| 10810.0 |    0.69736326 |
| 10800.0 |    0.73401678 |
| 10790.0 |    0.76189548 |
| 10780.0 |      0.784374 |
| 10770.0 |     0.7992363 |
| 10760.0 |    0.80876988 |
| 10750.0 |    0.81418788 |
| 10740.0 |    0.81655943 |
| 10730.0 |    0.81702888 |
| 10720.0 |    0.81606305 |
| 10710.0 |    0.81445187 |
| 10700.0 |    0.81273627 |
| 10690.0 |    0.81109554 |
| 10680.0 |    0.80977011 |
| 10670.0 |    0.80884117 |
| 10660.0 |    0.80833524 |
| 10650.0 |     0.8082549 |
| 10640.0 |    0.80849701 |
| 10630.0 |    0.80905026 |
| 10620.0 |    0.80975848 |
| 10610.0 |    0.81063718 |
| 10600.0 |    0.81135899 |
| 10590.0 |    0.81213391 |
| 10580.0 |    0.81276345 |
| 10570.0 |    0.81314915 |
| 10560.0 |    0.81340122 |
| 10550.0 |     0.8133173 |
| 10540.0 |    0.81294209 |
| 10530.0 |    0.81239849 |
| 10520.0 |    0.81164479 |
| 10510.0 |    0.81062126 |
| 10500.0 |    0.80958104 |
| 10490.0 |    0.80821645 |
| 10480.0 |    0.80701917 |
| 10470.0 |    0.80558991 |
| 10460.0 |    0.80418533 |
| 10450.0 |    0.80279881 |
| 10440.0 |    0.80147892 |
| 10430.0 |    0.80022061 |
| 10420.0 |    0.79905462 |
| 10410.0 |    0.79795438 |
| 10400.0 |    0.79679328 |
| 10390.0 |    0.79573441 |
| 10380.0 |    0.79476202 |
| 10370.0 |    0.79379886 |
| 10360.0 |    0.79279339 |
| 10350.0 |    0.79171538 |
| 10340.0 |    0.79077184 |
| 10330.0 |    0.78968555 |
| 10320.0 |    0.78867763 |
| 10310.0 |    0.78748959 |
| 10300.0 |    0.78642803 |
| 10290.0 |    0.78530926 |
| 10280.0 |    0.78425199 |
| 10270.0 |    0.78328663 |
| 10260.0 |    0.78236669 |
| 10250.0 |    0.78165168 |
| 10240.0 |    0.78111631 |
| 10230.0 |    0.78065097 |
| 10220.0 |    0.78051305 |
| 10210.0 |    0.78054327 |
| 10200.0 |    0.78075004 |
| 10190.0 |    0.78117782 |
| 10180.0 |    0.78177232 |
| 10170.0 |    0.78241521 |
| 10160.0 |    0.78311181 |
| 10150.0 |    0.78366971 |
| 10140.0 |    0.78409225 |
| 10130.0 |    0.78414655 |
| 10120.0 |     0.7836048 |
| 10110.0 |    0.78243238 |
| 10100.0 |    0.78059828 |
| 10090.0 |    0.77772725 |
| 10080.0 |    0.77375847 |
| 10070.0 |    0.76860988 |
| 10060.0 |    0.76262742 |
| 10050.0 |    0.75538212 |
