# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): Z
# 
# collected by: Guangtun Zhu
# 
# from http://www.jach.hawaii.edu/UKIRT/instruments/wfcam/user_guide/description.html
# 
# on July 11th 2008, NYU:
# 
# Note 1: I only include Q.E. between  7510.0 AA and  9990.0 AA
# 
# Note 2: I am not sure if this includes atmospheric extinction. My intuition is YES
# 
# Note 3:
# 
| lambda |          pass |
| 9990.0 | 5.7641151e-05 |
| 9980.0 | 5.9314614e-05 |
| 9970.0 |   6.14284e-05 |
| 9960.0 | 8.4516767e-05 |
| 9950.0 | 6.1112012e-05 |
| 9940.0 | 5.2962972e-05 |
| 9930.0 | 0.00011168527 |
| 9920.0 | 9.8603829e-05 |
| 9910.0 | 9.9335863e-05 |
| 9900.0 | 8.2961487e-05 |
| 9890.0 | 8.6848806e-05 |
| 9880.0 | 6.0569801e-05 |
| 9870.0 | 8.3406623e-05 |
| 9860.0 | 8.5093758e-05 |
| 9850.0 | 0.00010425153 |
| 9840.0 | 0.00012145378 |
| 9830.0 | 0.00013092297 |
| 9820.0 | 0.00017547968 |
| 9810.0 | 0.00016720608 |
| 9800.0 | 0.00015559868 |
| 9790.0 | 0.00019407547 |
| 9780.0 | 0.00019994428 |
| 9770.0 | 0.00022698354 |
| 9760.0 | 0.00023391686 |
| 9750.0 | 0.00026115475 |
| 9740.0 | 0.00028392783 |
| 9730.0 | 0.00028062283 |
| 9720.0 | 0.00035397819 |
| 9710.0 | 0.00043411346 |
| 9700.0 | 0.00050916034 |
| 9690.0 | 0.00054379646 |
| 9680.0 | 0.00063865073 |
| 9670.0 | 0.00068836298 |
| 9660.0 |  0.0007287403 |
| 9650.0 |  0.0008120155 |
| 9640.0 | 0.00087620853 |
| 9630.0 | 0.00097562064 |
| 9620.0 |  0.0010931363 |
| 9610.0 |  0.0012746205 |
| 9600.0 |  0.0014953057 |
| 9590.0 |  0.0017201044 |
| 9580.0 |  0.0019269969 |
| 9570.0 |  0.0021641355 |
| 9560.0 |  0.0023874438 |
| 9550.0 |   0.002569281 |
| 9540.0 |  0.0027784561 |
