# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): b_j (NOT B_j!)
# 
# Instrument: UK Schmidt telescope optics, IIIaJ emulsion 2mm  
#             plus 2mm of GG395. Airmass included
# 
# Determined by: P. Hewett & S. J. Warren (private communication 2002, see
#   correspondence in ukschmidt directory); Blanton divided by 
#   lambda to obtain photon probability
#  
# Date of determination: Unknown (see correspondence for upper limit)
# 
# Meaning of/Reason for default column: Only available.
# 
# Notes:
# 
# Please read the correspondence in the ukschmidt directory for
# explanations of how this was determined. Note that it was determined
# for a single photographic plate; Hewett does not trust that the
# curve is repeatable at a high level of precision. That said, this 
# is all we have got. Furthermore, this response appears to reproduce
# the behavior of galaxy b_j magnitudes relative to B and V galaxy
# magnitudes (b_j-B = -0.28 (B-V)). 
# 
# I don't understand how plate nonlinearities figure into this curve;
# presumably the hope is that this respresents the response for the 
# appropriately linearized b_j magnitude, for some definition of 
# "appropriately".
# 
# Michael Blanton
# 2002-08-19
# 
| lambda |        pass |
| 3585.0 |         0.0 |
| 3595.0 | 0.001251739 |
| 3605.0 | 0.002496533 |
| 3615.0 | 0.002489627 |
| 3625.0 | 0.003724138 |
| 3635.0 | 0.004951857 |
| 3645.0 | 0.009876543 |
| 3655.0 |  0.01354309 |
| 3665.0 |  0.01841746 |
| 3675.0 |  0.02204082 |
| 3685.0 |  0.02686567 |
| 3695.0 |  0.04018945 |
| 3705.0 |  0.05222672 |
| 3715.0 |   0.0654105 |
| 3725.0 |  0.07731544 |
| 3735.0 |  0.09036145 |
| 3745.0 |   0.1081442 |
| 3755.0 |   0.1258322 |
| 3765.0 |   0.1422311 |
| 3775.0 |   0.1597351 |
| 3785.0 |   0.1771466 |
| 3795.0 |   0.2086957 |
| 3805.0 |   0.2388962 |
| 3815.0 |    0.270118 |
| 3825.0 |         0.3 |
| 3835.0 |   0.3308996 |
| 3845.0 |   0.3616385 |
| 3855.0 |   0.3922179 |
| 3865.0 |   0.4214748 |
| 3875.0 |   0.4517419 |
| 3885.0 |   0.4818533 |
| 3895.0 |   0.5037227 |
| 3905.0 |   0.5254802 |
| 3915.0 |   0.5471264 |
| 3925.0 |   0.5686624 |
| 3935.0 |   0.5900889 |
| 3945.0 |   0.6079848 |
| 3955.0 |   0.6246523 |
| 3965.0 |   0.6423707 |
| 3975.0 |   0.6588679 |
| 3985.0 |   0.6764115 |
| 3995.0 |   0.6949937 |
| 4005.0 |   0.7123596 |
| 4015.0 |   0.7307597 |
| 4025.0 |   0.7479503 |
| 4035.0 |    0.766171 |
| 4045.0 |   0.7709518 |
| 4055.0 |    0.775709 |
| 4065.0 |   0.7804428 |
| 4075.0 |   0.7851534 |
| 4085.0 |   0.7898409 |
| 4095.0 |   0.7879121 |
| 4105.0 |   0.7870889 |
| 4115.0 |   0.7851762 |
| 4125.0 |   0.7843636 |
| 4135.0 |   0.7824667 |
| 4145.0 |   0.7794934 |
| 4155.0 |   0.7765343 |
| 4165.0 |   0.7746699 |
| 4175.0 |   0.7717365 |
| 4185.0 |   0.7688172 |
| 4195.0 |   0.7680572 |
| 4205.0 |   0.7673008 |
| 4215.0 |    0.766548 |
| 4225.0 |   0.7657988 |
| 4235.0 |   0.7650531 |
| 4245.0 |   0.7621908 |
| 4255.0 |    0.759342 |
| 4265.0 |   0.7554513 |
| 4275.0 |   0.7526316 |
| 4285.0 |    0.749825 |
| 4295.0 |   0.7428405 |
| 4305.0 |   0.7348432 |
| 4315.0 |   0.7279258 |
| 4325.0 |        0.72 |
| 4335.0 |   0.7131488 |
| 4345.0 |   0.7084005 |
| 4355.0 |   0.7036739 |
| 4365.0 |         0.7 |
| 4375.0 |   0.6953143 |
| 4385.0 |   0.6906499 |
| 4395.0 |   0.6901024 |
| 4405.0 |   0.6895573 |
| 4415.0 |   0.6879955 |
| 4425.0 |   0.6874576 |
| 4435.0 |   0.6869222 |
| 4445.0 |   0.6863892 |
| 4455.0 |   0.6848485 |
| 4465.0 |   0.6843225 |
| 4475.0 |   0.6827933 |
| 4485.0 |   0.6822742 |
| 4495.0 |   0.6737486 |
| 4505.0 |   0.6652608 |
| 4515.0 |   0.6578073 |
| 4525.0 |   0.6493923 |
| 4535.0 |   0.6410143 |
| 4545.0 |   0.6435644 |
| 4555.0 |   0.6461032 |
| 4565.0 |   0.6486309 |
| 4575.0 |   0.6511475 |
| 4585.0 |   0.6536532 |
| 4595.0 |   0.6522307 |
| 4605.0 |   0.6508143 |
| 4615.0 |   0.6503792 |
| 4625.0 |    0.648973 |
| 4635.0 |   0.6475728 |
| 4645.0 |   0.6587729 |
| 4655.0 |   0.6699248 |
| 4665.0 |   0.6800643 |
| 4675.0 |    0.691123 |
| 4685.0 |   0.7021345 |
| 4695.0 |   0.7035144 |
| 4705.0 |   0.7048884 |
| 4715.0 |   0.7062566 |
| 4725.0 |    0.707619 |
| 4735.0 |   0.7089757 |
| 4745.0 |   0.7093783 |
| 4755.0 |   0.7097792 |
| 4765.0 |    0.709234 |
| 4775.0 |   0.7096335 |
| 4785.0 |   0.7100313 |
| 4795.0 |   0.7085506 |
| 4805.0 |    0.707076 |
| 4815.0 |   0.7056075 |
| 4825.0 |   0.7041451 |
| 4835.0 |   0.7026887 |
| 4845.0 |   0.7012384 |
| 4855.0 |    0.699794 |
| 4865.0 |   0.6992806 |
| 4875.0 |   0.6978462 |
| 4885.0 |   0.6964176 |
| 4895.0 |   0.6940756 |
| 4905.0 |   0.6908257 |
| 4915.0 |   0.6885046 |
| 4925.0 |   0.6852792 |
| 4935.0 |   0.6829787 |
| 4945.0 |   0.6861476 |
| 4955.0 |   0.6902119 |
| 4965.0 |   0.6933535 |
| 4975.0 |   0.6973869 |
| 4985.0 |   0.7005015 |
| 4995.0 |   0.7027027 |
| 5005.0 |    0.703996 |
| 5015.0 |   0.7061815 |
| 5025.0 |   0.7074627 |
| 5035.0 |   0.7096326 |
| 5045.0 |   0.7180377 |
| 5055.0 |   0.7255193 |
| 5065.0 |   0.7338598 |
| 5075.0 |   0.7412808 |
| 5085.0 |   0.7495575 |
| 5095.0 |   0.7631011 |
| 5105.0 |   0.7765916 |
| 5115.0 |   0.7891496 |
| 5125.0 |   0.8025366 |
| 5135.0 |   0.8158715 |
| 5145.0 |   0.8247813 |
| 5155.0 |   0.8336566 |
| 5165.0 |   0.8424976 |
| 5175.0 |   0.8513043 |
| 5185.0 |   0.8600771 |
| 5195.0 |   0.8566891 |
| 5205.0 |   0.8541787 |
| 5215.0 |    0.850815 |
| 5225.0 |   0.8483254 |
| 5235.0 |   0.8449857 |
| 5245.0 |   0.8193518 |
| 5255.0 |   0.7938154 |
| 5265.0 |   0.7683761 |
| 5275.0 |   0.7430332 |
| 5285.0 |   0.7177862 |
| 5295.0 |   0.6858357 |
| 5305.0 |   0.6531574 |
| 5315.0 |   0.6214487 |
| 5325.0 |   0.5890141 |
| 5335.0 |   0.5575445 |
| 5345.0 |   0.5278765 |
| 5355.0 |   0.4983193 |
| 5365.0 |   0.4680336 |
| 5375.0 |   0.4386977 |
| 5385.0 |   0.4094708 |
| 5395.0 |   0.3803522 |
| 5405.0 |   0.3505088 |
| 5415.0 |   0.3216066 |
| 5425.0 |   0.2919816 |
| 5435.0 |   0.2632935 |
| 5445.0 |   0.2322314 |
| 5455.0 |   0.2012832 |
| 5465.0 |   0.1704483 |
