#wave       R1        R2         R3         R4
#
5000 9.73923e-05 0.000199471 0.000243996 0.000136101
5007.11 0.000130198 0.000182494 7.32137e-05 0.000145122
5014.22 0.000199482 8.38546e-05 0.000100217 0.000237808
5021.33 0.000104568 0.00014039 0.000121863 0.000178273
5028.45 0.00013315 0.000116979 0.00015626 0.000180496
5035.56 0.000102053 8.83512e-05 0.000190152 7.26475e-05
5042.67 0.000153103 0.000108075 9.36721e-05 0.000165831
5049.78 0.000156845 0.000112537 0.00017461 0.000117952
5056.89 0.000223693 7.90848e-05 6.01732e-05 7.23241e-05
5064 0.000143692 6.94326e-05 0.000201765 9.26047e-05
5071.12 0.00017214 0.00014748 0.000141911 9.8795e-05
5078.23 0.000179251 0.000149953 0.000193105 3.72364e-05
5085.34 0.000153444 0.000141735 0.000105147 0.000144944
5092.45 0.000133768 0.000193635 8.87198e-05 0.000189167
5099.56 0.000102752 0.000108097 9.11931e-05 8.28499e-05
5106.67 0.000154629 0.000144577 0.00015432 7.85219e-05
5113.78 0.000103387 0.000193809 0.000148774 0.000112406
5120.9 0.000218173 0.000216037 0.000182753 5.87653e-05
5128.01 0.00015036 0.00019501 0.000243871 0.000127108
5135.12 0.00018867 0.000146085 0.00016615 0.000118823
5142.23 0.000196595 0.000115589 0.000213688 0.000103493
5149.34 0.000183601 0.000168076 8.97018e-05 0.000122394
5156.45 0.000158829 0.000163171 0.000126875 8.20799e-05
5163.56 0.000199338 8.33701e-05 0.000152692 0.000123425
5170.68 0.000135675 7.99115e-05 0.000214089 0.000134161
5177.79 0.00020579 6.50408e-05 0.000143962 0.000131294
5184.9 0.000164833 0.000145078 0.000120781 0.000207321
5192.01 0.000135214 8.79519e-05 8.56758e-05 0.000187618
5199.12 0.000273223 0.000145049 0.000215033 0.000119379
5206.23 0.000113761 0.000186892 0.000126443 0.00014343
5213.35 0.000117472 0.000112799 0.00021105 0.000108374
5220.46 0.000180213 0.000227002 8.30185e-05 0.000154241
5227.57 0.000160838 0.000115634 0.000234918 0.000122219
5234.68 0.000148344 8.5457e-05 0.000199576 9.9111e-05
5241.79 0.000128435 0.000147375 0.000149383 3.80913e-05
5248.9 0.000105752 0.000227625 0.000272513 0.000183698
5256.01 0.00010584 0.000157456 0.000143036 0.000107674
5263.13 0.000158985 0.000136353 0.000132663 0.00011225
5270.24 0.000134353 0.000109186 0.000244565 0.000142709
5277.35 0.000219644 0.000188913 0.000248718 0.000113954
5284.46 0.000146399 0.00013594 0.000147623 8.8629e-05
5291.57 0.00016998 0.000145212 0.000141516 0.000179527
5298.68 0.000204992 0.000137461 0.000162844 0.000198541
