# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): B
# 
# Instrument: VIMOS
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
|    3600.5 |    0.00034445 |
|    3605.8 | 0.00029150749 |
| 3611.1001 |   0.000313625 |
|    3616.3 | 0.00032279751 |
| 3621.6001 | 0.00034928002 |
| 3626.8999 |  0.0003078325 |
| 3632.1001 | 0.00041794748 |
| 3637.3999 |  0.0003751725 |
|    3642.7 |   0.000540865 |
|    3648.0 | 0.00070849253 |
|    3653.2 | 0.00090154499 |
|    3658.5 |  0.0012766374 |
|    3663.8 |  0.0017442451 |
|    3669.0 |  0.0026125023 |
|    3674.3 |  0.0038560901 |
| 3679.6001 |  0.0073711397 |
| 3684.8999 |  0.0086115822 |
| 3690.1001 |  0.0099343145 |
| 3695.3999 |   0.011195927 |
|    3700.7 |   0.012544025 |
|    3706.0 |   0.013947252 |
|    3711.2 |   0.015716402 |
|    3716.5 |   0.017495029 |
|    3721.8 |   0.020540802 |
|    3727.0 |   0.023487806 |
|    3732.3 |   0.026220655 |
| 3737.6001 |    0.02934067 |
| 3742.8999 |   0.032831922 |
| 3748.1001 |   0.036782645 |
| 3753.3999 |   0.041797847 |
|    3758.7 |   0.048682697 |
| 3763.8999 |   0.055452976 |
|    3769.2 |   0.063931249 |
|    3774.5 |   0.074900053 |
|    3779.8 |   0.084820956 |
|    3785.0 |     0.0949957 |
|    3790.3 |    0.10671128 |
| 3795.6001 |     0.1171902 |
|    3800.8 |    0.12663901 |
| 3806.1001 |    0.13505551 |
| 3811.3999 |    0.14246824 |
|    3816.7 |      0.149223 |
| 3821.8999 |    0.15517975 |
|    3827.2 |     0.1603505 |
|    3832.5 |    0.16508874 |
|    3837.8 |      0.169219 |
|    3843.0 |    0.17285749 |
|    3848.3 |    0.17599875 |
