# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): B
# 
# Instrument: VIMOS/Quadrant Q4
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
|    3600.5 | 0.00048764001 |
|    3605.8 | 0.00035369999 |
| 3611.1001 | 0.00034994999 |
|    3616.3 | 0.00038104999 |
| 3621.6001 | 0.00039666001 |
| 3626.8999 | 0.00034013999 |
| 3632.1001 | 0.00050472998 |
| 3637.3999 |    0.00033369 |
|    3642.7 | 0.00038598999 |
|    3648.0 | 0.00035961001 |
|    3653.2 |    0.00048605 |
|    3658.5 | 0.00037853999 |
|    3663.8 | 0.00033735001 |
|    3669.0 |    0.00046834 |
|    3674.3 | 0.00050749001 |
| 3679.6001 | 0.00032369999 |
| 3684.8999 |    0.00038667 |
| 3690.1001 | 0.00038571999 |
| 3695.3999 | 0.00048747001 |
|    3700.7 | 0.00060139998 |
|    3706.0 |    0.00051503 |
|    3711.2 |     0.0006955 |
|    3716.5 | 0.00099994999 |
|    3721.8 |    0.00143525 |
|    3727.0 |  0.0019465199 |
|    3732.3 |  0.0028357201 |
| 3737.6001 |  0.0045215101 |
| 3742.8999 |  0.0073544402 |
| 3748.1001 |     0.0123412 |
| 3753.3999 |   0.019545499 |
|    3758.7 |      0.030368 |
| 3763.8999 |   0.037566099 |
|    3769.2 |     0.0447984 |
|    3774.5 |   0.052044202 |
|    3779.8 |   0.059899502 |
|    3785.0 |   0.069513701 |
|    3790.3 |     0.0846911 |
| 3795.6001 |   0.098074898 |
|    3800.8 |      0.110214 |
| 3806.1001 |      0.121208 |
| 3811.3999 |    0.13096499 |
|    3816.7 |    0.13992999 |
| 3821.8999 |      0.148013 |
|    3827.2 |    0.15507001 |
|    3832.5 |    0.16159999 |
|    3837.8 |    0.16746201 |
|    3843.0 |    0.17271399 |
|    3848.3 |      0.177166 |
| 3853.6001 |    0.18136001 |
|    3858.8 |      0.185104 |
| 3864.1001 |    0.18844099 |
| 3869.3999 |      0.191148 |
|    3874.7 |       0.19379 |
| 3879.8999 |    0.19614001 |
|    3885.2 |       0.19823 |
|    3890.5 |    0.19981401 |
|    3895.7 |    0.20146801 |
|    3901.0 |      0.202943 |
|    3906.3 |       0.20398 |
| 3911.6001 |    0.20515899 |
|    3916.8 |      0.206219 |
| 3922.1001 |      0.207176 |
| 3927.3999 |      0.207761 |
| 3932.6001 |      0.208555 |
| 3937.8999 |    0.20928501 |
|    3943.2 |      0.209962 |
|    3948.5 |      0.210309 |
|    3953.7 |      0.210906 |
|    3959.0 |      0.211473 |
|    3964.3 |      0.212018 |
| 3969.6001 |      0.212258 |
|    3974.8 |       0.21277 |
| 3980.1001 |    0.21327201 |
| 3985.3999 |    0.21376599 |
| 3990.6001 |    0.21397001 |
| 3995.8999 |    0.21445701 |
|    4001.2 |    0.21494199 |
|    4006.5 |    0.21571299 |
|    4011.7 |      0.216775 |
|    4017.0 |    0.21755099 |
|    4022.3 |      0.218328 |
|    4027.5 |        0.2194 |
|    4032.8 |       0.22018 |
| 4038.1001 |      0.220961 |
| 4043.3999 |      0.222039 |
| 4048.6001 |      0.222819 |
| 4053.8999 |    0.22359701 |
|    4059.2 |      0.224673 |
|    4064.5 |      0.225445 |
|    4069.7 |      0.226211 |
|    4075.0 |      0.226971 |
|    4080.3 |      0.228029 |
|    4085.5 |      0.228774 |
|    4090.8 |    0.22950999 |
| 4096.1001 |      0.230544 |
| 4101.3999 |      0.231258 |
| 4106.6001 |      0.231959 |
| 4111.8999 |       0.23296 |
| 4117.2002 |    0.23363499 |
| 4122.3999 |      0.234295 |
| 4127.7002 |      0.235257 |
|    4133.0 |    0.23588701 |
| 4138.2002 |    0.23650099 |
|    4143.5 |      0.237417 |
| 4148.7998 |    0.23799799 |
| 4154.1001 |      0.238562 |
| 4159.2998 |    0.23943201 |
| 4164.6001 |      0.239962 |
| 4169.8999 |      0.240476 |
| 4175.2002 |      0.241298 |
