# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): I
# 
# Instrument: VIMOS
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 6905.8901 | 0.00014128663 |
|    6913.0 | 0.00015015726 |
| 6920.1099 | 0.00011665198 |
| 6927.2202 | 0.00010422948 |
| 6934.3301 | 0.00013844937 |
| 6941.4399 | 0.00016567699 |
| 6948.5601 | 0.00011890726 |
| 6955.6699 | 0.00013989767 |
| 6962.7798 | 0.00015616175 |
| 6969.8901 | 0.00014294338 |
|    6977.0 | 0.00012721645 |
| 6984.1099 | 0.00015381847 |
| 6991.2202 | 0.00012927582 |
| 6998.3398 | 0.00014022575 |
| 7005.4502 |  0.0001157911 |
| 7012.5601 | 6.7139903e-05 |
| 7019.6699 | 8.2630024e-05 |
| 7026.7798 | 0.00020307773 |
| 7033.8901 | 0.00015220187 |
| 7041.0098 | 0.00018045442 |
| 7048.1201 | 0.00013891532 |
|   7055.23 | 0.00016885025 |
| 7062.3398 | 0.00019171344 |
| 7069.4502 | 0.00021544824 |
| 7076.5601 | 0.00026099902 |
| 7083.6699 |   0.000284056 |
|   7090.79 | 0.00039780873 |
| 7097.8999 | 0.00060663198 |
| 7105.0098 | 0.00084222876 |
| 7112.1201 |  0.0010598151 |
|   7119.23 |  0.0014749576 |
| 7126.3398 |    0.00194974 |
| 7133.4502 |  0.0024714801 |
| 7140.5698 |  0.0033093526 |
| 7147.6802 |  0.0043286025 |
|   7154.79 |   0.005507085 |
| 7161.8999 |  0.0070311455 |
| 7169.0098 |  0.0087791728 |
| 7176.1201 |   0.011052795 |
| 7183.2402 |   0.013751388 |
| 7190.3501 |   0.016604425 |
|   7197.46 |   0.019724125 |
| 7204.5698 |   0.023471875 |
| 7211.6802 |   0.026193351 |
|   7218.79 |   0.031576075 |
| 7225.8999 |   0.038075749 |
|   7233.02 |   0.044539049 |
| 7240.1299 |   0.050966226 |
| 7247.2402 |   0.057800323 |
| 7254.3501 |   0.064352855 |
|   7261.46 |   0.070548721 |
| 7268.5698 |   0.076468401 |
| 7275.6899 |   0.082068101 |
| 7282.7998 |   0.087420717 |
| 7289.9102 |   0.092503399 |
|   7297.02 |   0.097267151 |
| 7304.1299 |    0.10188115 |
| 7311.2402 |    0.10618905 |
| 7318.3501 |    0.11030751 |
| 7325.4702 |    0.11420325 |
| 7332.5801 |    0.11785175 |
| 7339.6899 |     0.1213455 |
| 7346.7998 |      0.124638 |
| 7353.9102 |    0.12770975 |
|   7361.02 |    0.13063975 |
| 7368.1299 |      0.133404 |
|   7375.25 |    0.13619849 |
| 7382.3599 |      0.139008 |
| 7389.4702 |      0.141574 |
| 7396.5801 |      0.144004 |
| 7403.6899 |    0.14638901 |
| 7410.7998 |     0.1485495 |
| 7417.9199 |    0.15063551 |
| 7425.0298 |    0.15260175 |
| 7432.1401 |    0.15445299 |
|   7439.25 |       0.15615 |
| 7446.3599 |    0.15778974 |
| 7453.4702 |    0.15933324 |
| 7460.5801 |    0.16073325 |
| 7467.7002 |      0.162091 |
| 7474.8101 |      0.163366 |
| 7481.9199 |    0.16451199 |
| 7489.0298 |    0.16562925 |
| 7496.1401 |     0.1667255 |
|   7503.25 |      0.167592 |
| 7510.3701 |    0.16855824 |
|   7517.48 |    0.16934726 |
| 7524.5898 |    0.17013875 |
