# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): I
# 
# Instrument: VIMOS/Quadrant Q3
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 6905.8901 | 9.9900499e-05 |
|    6913.0 |   0.000147243 |
| 6920.1099 |   0.000138567 |
| 6927.2202 |   6.71983e-05 |
| 6934.3301 |   0.000173636 |
| 6941.4399 | 0.00020711801 |
| 6948.5601 |   0.000202065 |
| 6955.6699 | 9.7103701e-05 |
| 6962.7798 |   0.000189253 |
| 6969.8901 |   0.000110592 |
|    6977.0 |    0.00017426 |
| 6984.1099 |    0.00014094 |
| 6991.2202 |   9.15735e-05 |
| 6998.3398 |   0.000103263 |
| 7005.4502 |   8.10032e-05 |
| 7012.5601 |   8.56556e-05 |
| 7019.6699 | 3.7309001e-05 |
| 7026.7798 |   0.000250215 |
| 7033.8901 |   0.000176505 |
| 7041.0098 |   0.000228994 |
| 7048.1201 |   0.000143893 |
|   7055.23 |   0.000240144 |
| 7062.3398 | 0.00027586799 |
| 7069.4502 | 0.00026162001 |
| 7076.5601 | 0.00040281701 |
| 7083.6699 |   0.000346758 |
|   7090.79 | 0.00059090799 |
| 7097.8999 | 0.00081552402 |
| 7105.0098 |  0.0012206699 |
| 7112.1201 |     0.0014572 |
|   7119.23 |  0.0019719901 |
| 7126.3398 |  0.0027396099 |
| 7133.4502 |    0.00328311 |
| 7140.5698 |  0.0043985201 |
| 7147.6802 |  0.0056047901 |
|   7154.79 |    0.00698032 |
| 7161.8999 |     0.0089427 |
| 7169.0098 |     0.0110242 |
| 7176.1201 |     0.0135856 |
| 7183.2402 |   0.016636699 |
| 7190.3501 |   0.019823801 |
|   7197.46 |   0.023104399 |
| 7204.5698 |   0.027152499 |
| 7211.6802 |   0.028928099 |
|   7218.79 |     0.0362668 |
| 7225.8999 |   0.043251898 |
|   7233.02 |   0.049833398 |
| 7240.1299 |   0.056145899 |
| 7247.2402 |     0.0620667 |
