# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): R
# 
# Instrument: VIMOS
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 5504.9199 | 0.00014447788 |
| 5512.0298 | 0.00013932673 |
| 5519.1401 |   0.000217491 |
|   5526.25 |   0.000171094 |
| 5533.3599 | 0.00016270867 |
|   5540.48 | 0.00014482133 |
| 5547.5898 | 0.00016261647 |
| 5554.7002 | 0.00018229711 |
| 5561.8101 | 0.00027822651 |
| 5568.9199 | 0.00030407548 |
| 5576.0298 | 0.00047822128 |
| 5583.1401 | 0.00066977122 |
| 5590.2598 | 0.00096540526 |
| 5597.3701 |  0.0015683265 |
|   5604.48 |  0.0020471725 |
| 5611.5898 |  0.0030531799 |
| 5618.7002 |  0.0042517474 |
| 5625.8101 |  0.0057666553 |
| 5632.9199 |  0.0076885251 |
|   5640.04 |  0.0099581424 |
| 5647.1499 |   0.012773347 |
| 5654.2598 |   0.015051555 |
| 5661.3701 |   0.018762302 |
|   5668.48 |   0.023128301 |
| 5675.5898 |   0.027278351 |
|   5682.71 |    0.03252805 |
| 5689.8198 |   0.038093377 |
| 5696.9302 |   0.044084102 |
|   5704.04 |   0.050423175 |
| 5711.1499 |     0.0570032 |
| 5718.2598 |   0.063748799 |
| 5725.3701 |   0.070657052 |
| 5732.4902 |   0.077650495 |
| 5739.6001 |   0.084685102 |
|   5746.71 |   0.091750905 |
| 5753.8198 |   0.098749533 |
| 5760.9302 |    0.10567935 |
|   5768.04 |    0.11246633 |
| 5775.1602 |    0.11921725 |
|   5782.27 |    0.12578975 |
| 5789.3799 |    0.13220924 |
| 5796.4902 |    0.13845274 |
| 5803.6001 |    0.14460625 |
|   5810.71 |    0.15048149 |
| 5817.8198 |    0.15615624 |
| 5824.9399 |    0.16167624 |
| 5832.0498 |     0.1669375 |
| 5839.1602 |      0.171987 |
|   5846.27 |    0.17695075 |
| 5853.3799 |     0.1816355 |
| 5860.4902 |    0.18606099 |
| 5867.6001 |    0.19033176 |
| 5874.7202 |     0.1943465 |
| 5881.8301 |    0.19822225 |
| 5888.9399 |      0.201906 |
| 5896.0498 |    0.20533574 |
| 5903.1602 |      0.208718 |
|   5910.27 |    0.21178475 |
| 5917.3901 |    0.21474449 |
|    5924.5 |     0.2175415 |
| 5931.6099 |      0.220191 |
| 5938.7202 |      0.222673 |
| 5945.8301 |    0.22494625 |
| 5952.9399 |     0.2272145 |
| 5960.0498 |    0.22928974 |
| 5967.1699 |    0.23123075 |
| 5974.2798 |    0.23304725 |
| 5981.3901 |    0.23475726 |
|    5988.5 |    0.23635074 |
| 5995.6099 |     0.2377685 |
| 6002.7202 |    0.23931575 |
| 6009.8398 |    0.24054025 |
| 6016.9502 |     0.2418285 |
| 6024.0601 |    0.24296775 |
| 6031.1699 |    0.24401474 |
| 6038.2798 |    0.24499175 |
| 6045.3901 |     0.2458985 |
|    6052.5 |    0.24682075 |
| 6059.6201 |    0.24751724 |
|   6066.73 |    0.24839899 |
| 6073.8398 |    0.24897924 |
| 6080.9502 |       0.24967 |
| 6088.0601 |    0.25023675 |
| 6095.1699 |    0.25082999 |
| 6102.2798 |    0.25121352 |
| 6109.3999 |    0.25180101 |
| 6116.5098 |    0.25210875 |
| 6123.6201 |    0.25254101 |
|   6130.73 |    0.25292975 |
| 6137.8398 |    0.25312698 |
| 6144.9502 |    0.25353026 |
| 6152.0698 |    0.25367001 |
| 6159.1802 |    0.25401074 |
|   6166.29 |      0.254163 |
| 6173.3999 |      0.254374 |
| 6180.5098 |    0.25447077 |
| 6187.6201 |    0.25470948 |
|   6194.73 |    0.25467551 |
| 6201.8501 |    0.25486526 |
|   6208.96 |    0.25487274 |
| 6216.0698 |    0.25485325 |
| 6223.1802 |      0.254893 |
|   6230.29 |     0.2549955 |
| 6237.3999 |    0.25483975 |
|   6244.52 |    0.25490326 |
| 6251.6299 |    0.25486526 |
| 6258.7402 |    0.25482699 |
| 6265.8501 |      0.254675 |
|   6272.96 |    0.25459576 |
| 6280.0698 |    0.25449276 |
| 6287.1802 |    0.25439227 |
| 6294.2998 |    0.25434449 |
| 6301.4102 |    0.25405473 |
|   6308.52 |    0.25398177 |
| 6315.6299 |    0.25382224 |
| 6322.7402 |    0.25366199 |
| 6329.8501 |    0.25356451 |
| 6336.9702 |    0.25328773 |
| 6344.0801 |    0.25310051 |
| 6351.1899 |    0.25297827 |
| 6358.2998 |     0.2526935 |
| 6365.4102 |    0.25256598 |
|   6372.52 |    0.25242552 |
| 6379.6299 |    0.25212801 |
|   6386.75 |    0.25189576 |
| 6393.8599 |     0.2517505 |
| 6400.9702 |    0.25152224 |
| 6408.0801 |    0.25137222 |
| 6415.1899 |    0.25112975 |
| 6422.2998 |    0.25097626 |
| 6429.4102 |    0.25075024 |
| 6436.5298 |    0.25059599 |
| 6443.6401 |     0.2504335 |
|   6450.75 |    0.25012925 |
| 6457.8599 |    0.24989426 |
| 6464.9702 |      0.249742 |
| 6472.0801 |    0.24959823 |
| 6479.2002 |    0.24944851 |
| 6486.3101 |    0.24922824 |
| 6493.4199 |    0.24908876 |
| 6500.5298 |    0.24894199 |
| 6507.6401 |    0.24879625 |
|   6514.75 |    0.24865925 |
| 6521.8599 |    0.24852298 |
|   6528.98 |    0.24830925 |
| 6536.0898 |    0.24817251 |
| 6543.2002 |    0.24803625 |
| 6550.3101 |    0.24789849 |
| 6557.4199 |    0.24775974 |
| 6564.5298 |    0.24761826 |
| 6571.6499 |    0.24747449 |
| 6578.7598 |    0.24732725 |
| 6585.8701 |    0.24726476 |
|   6592.98 |    0.24710876 |
| 6600.0898 |     0.2469475 |
| 6607.2002 |    0.24678826 |
| 6614.3101 |    0.24654526 |
| 6621.4302 |    0.24637151 |
|   6628.54 |      0.246181 |
| 6635.6499 |    0.24607074 |
| 6642.7598 |    0.24593824 |
| 6649.8701 |      0.245727 |
|   6656.98 |    0.24549651 |
| 6664.0898 |     0.2452625 |
|   6671.21 |    0.24509774 |
| 6678.3198 |    0.24483949 |
| 6685.4302 |    0.24456802 |
|   6692.54 |    0.24428377 |
| 6699.6499 |      0.244075 |
| 6706.7598 |    0.24376427 |
| 6713.8799 |    0.24351576 |
| 6720.9902 |      0.243259 |
| 6728.1001 |    0.24291599 |
|   6735.21 |    0.24261877 |
| 6742.3198 |     0.2423315 |
| 6749.4302 |    0.24194349 |
|   6756.54 |     0.2415525 |
| 6763.6602 |    0.24123175 |
|   6770.77 |    0.24081302 |
| 6777.8799 |    0.24053499 |
| 6784.9902 |      0.240189 |
| 6792.1001 |    0.23974851 |
|   6799.21 |    0.23931076 |
| 6806.3301 |    0.23894998 |
| 6813.4399 |    0.23857251 |
| 6820.5498 |    0.23820251 |
| 6827.6602 |    0.23783925 |
|   6834.77 |    0.23739725 |
| 6841.8799 |    0.23710451 |
| 6848.9902 |    0.23674349 |
| 6856.1099 |    0.23632199 |
| 6863.2202 |    0.23597899 |
| 6870.3301 |    0.23562801 |
| 6877.4399 |    0.23529801 |
| 6884.5498 |    0.23497549 |
| 6891.6602 |    0.23472349 |
|   6898.77 |      0.234339 |
| 6905.8901 |    0.23402224 |
|    6913.0 |    0.23371275 |
| 6920.1099 |      0.233395 |
| 6927.2202 |    0.23307626 |
| 6934.3301 |    0.23281151 |
| 6941.4399 |    0.23239049 |
| 6948.5601 |    0.23201475 |
| 6955.6699 |     0.2316695 |
| 6962.7798 |    0.23121975 |
| 6969.8901 |    0.23062475 |
|    6977.0 |     0.2301795 |
| 6984.1099 |    0.22942951 |
| 6991.2202 |    0.22870651 |
| 6998.3398 |    0.22778775 |
| 7005.4502 |    0.22664426 |
| 7012.5601 |    0.22552851 |
| 7019.6699 |    0.22399025 |
| 7026.7798 |    0.22241101 |
| 7033.8901 |    0.22033876 |
| 7041.0098 |    0.21793924 |
| 7048.1201 |    0.21536499 |
|   7055.23 |    0.21216249 |
| 7062.3398 |    0.20866899 |
| 7069.4502 |    0.20443401 |
| 7076.5601 |    0.19976725 |
| 7083.6699 |    0.19422249 |
|   7090.79 |     0.1880095 |
| 7097.8999 |    0.18089101 |
| 7105.0098 |    0.17284501 |
| 7112.1201 |    0.16368924 |
|   7119.23 |     0.1533675 |
| 7126.3398 |    0.14165425 |
| 7133.4502 |    0.12861897 |
| 7140.5698 |    0.11386652 |
| 7147.6802 |   0.097453728 |
|   7154.79 |   0.079033449 |
| 7161.8999 |   0.064793453 |
| 7169.0098 |   0.048453424 |
| 7176.1201 |   0.036815941 |
| 7183.2402 |   0.024049863 |
| 7190.3501 |   0.015567489 |
|   7197.46 |   0.010383795 |
| 7204.5698 |  0.0075578177 |
| 7211.6802 |  0.0056544729 |
|   7218.79 |    0.00411546 |
| 7225.8999 |  0.0030202726 |
|   7233.02 |  0.0023403368 |
| 7240.1299 |  0.0017093287 |
| 7247.2402 |  0.0013857859 |
| 7254.3501 |  0.0010454042 |
|   7261.46 | 0.00089392974 |
| 7268.5698 | 0.00080999197 |
| 7275.6899 | 0.00071469927 |
| 7282.7998 | 0.00053418102 |
| 7289.9102 |   0.000493053 |
|   7297.02 | 0.00037984148 |
| 7304.1299 |   0.000338374 |
| 7311.2402 |  0.0003601705 |
| 7318.3501 |   0.000312196 |
| 7325.4702 | 0.00022203125 |
| 7332.5801 | 0.00019016351 |
| 7339.6899 | 0.00022730601 |
| 7346.7998 |   0.000204475 |
| 7353.9102 | 0.00022150774 |
|   7361.02 | 0.00019148851 |
| 7368.1299 | 0.00021501002 |
|   7375.25 | 0.00023725723 |
| 7382.3599 | 0.00022703702 |
