# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): R
# 
# Instrument: VIMOS/Quadrant Q3
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 5504.9199 |   0.000159695 |
| 5512.0298 |   0.000166906 |
| 5519.1401 | 0.00020728901 |
|   5526.25 |   0.000275228 |
| 5533.3599 |   0.000178756 |
|   5540.48 | 0.00018194001 |
| 5547.5898 | 0.00020297299 |
| 5554.7002 | 0.00024874401 |
| 5561.8101 | 0.00033892199 |
| 5568.9199 | 0.00031289001 |
| 5576.0298 | 0.00050778402 |
| 5583.1401 | 0.00063040701 |
| 5590.2598 |    0.00111749 |
| 5597.3701 |    0.00147404 |
|   5604.48 |  0.0019606601 |
| 5611.5898 |  0.0028977899 |
| 5618.7002 |  0.0041897399 |
| 5625.8101 |    0.00550482 |
| 5632.9199 |  0.0073738801 |
|   5640.04 |     0.0100448 |
| 5647.1499 |     0.0129147 |
| 5654.2598 |   0.016316701 |
| 5661.3701 |     0.0199674 |
|   5668.48 |   0.025343601 |
| 5675.5898 |   0.031613301 |
|   5682.71 |   0.037971102 |
| 5689.8198 |   0.044388302 |
| 5696.9302 |   0.050838701 |
|   5704.04 |   0.057375699 |
| 5711.1499 |   0.063831598 |
| 5718.2598 |   0.070255198 |
| 5725.3701 |   0.076628797 |
| 5732.4902 |   0.082936198 |
| 5739.6001 |   0.089162901 |
|   5746.71 |   0.095423698 |
| 5753.8198 |       0.10146 |
| 5760.9302 |      0.107381 |
|   5768.04 |      0.113178 |
| 5775.1602 |      0.119001 |
|   5782.27 |      0.124535 |
| 5789.3799 |      0.129925 |
| 5796.4902 |      0.135166 |
| 5803.6001 |      0.140441 |
|   5810.71 |      0.145381 |
| 5817.8198 |      0.150162 |
| 5824.9399 |    0.15498801 |
| 5832.0498 |      0.159455 |
| 5839.1602 |    0.16376001 |
|   5846.27 |      0.168126 |
| 5853.3799 |      0.172114 |
| 5860.4902 |      0.175943 |
| 5867.6001 |      0.179849 |
| 5874.7202 |      0.183367 |
| 5881.8301 |      0.186975 |
| 5888.9399 |      0.190189 |
| 5896.0498 |      0.193252 |
| 5903.1602 |      0.196426 |
|   5910.27 |      0.199201 |
| 5917.3901 |      0.202099 |
|    5924.5 |      0.204597 |
| 5931.6099 |    0.20695999 |
| 5938.7202 |      0.209465 |
| 5945.8301 |    0.21157099 |
| 5952.9399 |    0.21383201 |
| 5960.0498 |    0.21569499 |
| 5967.1699 |      0.217724 |
| 5974.2798 |      0.219359 |
| 5981.3901 |      0.220884 |
|    5988.5 |      0.222591 |
| 5995.6099 |       0.22391 |
| 6002.7202 |      0.225421 |
| 6009.8398 |      0.226547 |
| 6016.9502 |    0.22787701 |
| 6024.0601 |      0.228825 |
| 6031.1699 |      0.229987 |
| 6038.2798 |    0.23077101 |
| 6045.3901 |    0.23147701 |
|    6052.5 |       0.23241 |
| 6059.6201 |    0.23297299 |
|   6066.73 |      0.233771 |
| 6073.8398 |      0.234203 |
| 6080.9502 |    0.23487601 |
| 6088.0601 |    0.23518901 |
| 6095.1699 |      0.235751 |
| 6102.2798 |      0.235957 |
| 6109.3999 |      0.236417 |
| 6116.5098 |      0.236527 |
| 6123.6201 |    0.23659199 |
|   6130.73 |       0.23692 |
| 6137.8398 |    0.23690499 |
| 6144.9502 |      0.237156 |
| 6152.0698 |      0.237069 |
| 6159.1802 |      0.237252 |
|   6166.29 |      0.237102 |
| 6173.3999 |    0.23722699 |
| 6180.5098 |      0.237021 |
| 6187.6201 |      0.237094 |
|   6194.73 |    0.23684099 |
| 6201.8501 |    0.23686799 |
|   6208.96 |    0.23657399 |
| 6216.0698 |      0.236563 |
| 6223.1802 |    0.23623399 |
|   6230.29 |    0.23618899 |
| 6237.3999 |    0.23583101 |
|   6244.52 |    0.23575801 |
| 6251.6299 |      0.235673 |
| 6258.7402 |      0.235278 |
| 6265.8501 |      0.235172 |
|   6272.96 |      0.234758 |
| 6280.0698 |      0.234634 |
| 6287.1802 |    0.23420499 |
| 6294.2998 |      0.234065 |
| 6301.4102 |      0.233624 |
|   6308.52 |      0.233472 |
| 6315.6299 |    0.23331501 |
| 6322.7402 |      0.232859 |
| 6329.8501 |      0.232692 |
| 6336.9702 |      0.232521 |
| 6344.0801 |      0.232054 |
| 6351.1899 |      0.231876 |
| 6358.2998 |    0.23140199 |
| 6365.4102 |      0.231217 |
|   6372.52 |      0.231029 |
| 6379.6299 |    0.23054799 |
|   6386.75 |      0.230353 |
| 6393.8599 |      0.230156 |
| 6400.9702 |    0.22966599 |
| 6408.0801 |      0.229463 |
| 6415.1899 |    0.22925501 |
| 6422.2998 |    0.22904401 |
| 6429.4102 |      0.228542 |
| 6436.5298 |      0.228324 |
| 6443.6401 |      0.228101 |
|   6450.75 |      0.227588 |
| 6457.8599 |      0.227356 |
| 6464.9702 |      0.227119 |
| 6472.0801 |      0.226877 |
| 6479.2002 |       0.22663 |
| 6486.3101 |    0.22609299 |
| 6493.4199 |      0.225834 |
| 6500.5298 |      0.225568 |
| 6507.6401 |    0.22529601 |
|   6514.75 |      0.225017 |
| 6521.8599 |      0.224731 |
|   6528.98 |    0.22415701 |
| 6536.0898 |      0.223856 |
| 6543.2002 |      0.223548 |
| 6550.3101 |      0.223232 |
| 6557.4199 |      0.222909 |
| 6564.5298 |    0.22257701 |
| 6571.6499 |      0.222238 |
| 6578.7598 |       0.22189 |
| 6585.8701 |      0.221535 |
|   6592.98 |      0.221172 |
| 6600.0898 |    0.22080199 |
| 6607.2002 |    0.22042499 |
| 6614.3101 |    0.21976601 |
| 6621.4302 |      0.219376 |
|   6628.54 |      0.218979 |
| 6635.6499 |      0.218577 |
| 6642.7598 |    0.21844301 |
| 6649.8701 |      0.218031 |
|   6656.98 |    0.21761499 |
| 6664.0898 |      0.217196 |
|   6671.21 |      0.216775 |
| 6678.3198 |      0.216352 |
| 6685.4302 |      0.215929 |
|   6692.54 |      0.215507 |
| 6699.6499 |      0.215086 |
| 6706.7598 |    0.21466801 |
| 6713.8799 |    0.21425401 |
| 6720.9902 |      0.213844 |
| 6728.1001 |      0.213441 |
|   6735.21 |      0.213311 |
| 6742.3198 |    0.21292301 |
| 6749.4302 |    0.21254499 |
|   6756.54 |    0.21217699 |
| 6763.6602 |      0.211822 |
|   6770.77 |    0.21148001 |
| 6777.8799 |      0.211417 |
| 6784.9902 |    0.21110401 |
| 6792.1001 |      0.210807 |
|   6799.21 |      0.210527 |
| 6806.3301 |      0.210265 |
| 6813.4399 |    0.21028399 |
| 6820.5498 |      0.210058 |
| 6827.6602 |       0.20985 |
|   6834.77 |    0.20965999 |
| 6841.8799 |       0.20975 |
| 6848.9902 |      0.209594 |
| 6856.1099 |      0.209454 |
| 6863.2202 |      0.209327 |
| 6870.3301 |      0.209475 |
| 6877.4399 |    0.20936801 |
| 6884.5498 |      0.209268 |
| 6891.6602 |      0.209433 |
|   6898.77 |      0.209332 |
| 6905.8901 |      0.209223 |
|    6913.0 |    0.20909999 |
| 6920.1099 |    0.20922001 |
| 6927.2202 |      0.209047 |
| 6934.3301 |    0.20910101 |
| 6941.4399 |    0.20884299 |
| 6948.5601 |      0.208525 |
| 6955.6699 |      0.208399 |
| 6962.7798 |    0.20792399 |
| 6969.8901 |    0.20734701 |
|    6977.0 |    0.20691399 |
| 6984.1099 |       0.20608 |
| 6991.2202 |      0.205348 |
| 6998.3398 |      0.204175 |
| 7005.4502 |      0.202795 |
| 7012.5601 |      0.201437 |
| 7019.6699 |       0.19956 |
| 7026.7798 |    0.19763801 |
| 7033.8901 |      0.195134 |
| 7041.0098 |      0.192261 |
| 7048.1201 |    0.18922099 |
|   7055.23 |    0.18548299 |
