# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): U
# 
# Instrument: VIMOS
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
|    3329.0 |   0.011557505 |
|    3334.3 |   0.012540778 |
|    3339.5 |   0.013328516 |
|    3344.8 |   0.014110292 |
| 3350.1001 |   0.016080232 |
| 3355.3999 |   0.017330347 |
| 3360.6001 |   0.018540524 |
| 3365.8999 |    0.02011263 |
|    3371.2 |   0.021554984 |
|    3376.5 |   0.022984512 |
|    3381.7 |   0.025157876 |
|    3387.0 |   0.026475975 |
|    3392.3 |   0.027879518 |
|    3397.5 |   0.029324027 |
|    3402.8 |   0.030902216 |
| 3408.1001 |   0.032879971 |
| 3413.3999 |   0.034996849 |
| 3418.6001 |   0.036610711 |
| 3423.8999 |   0.038624138 |
|    3429.2 |   0.040596142 |
| 3434.3999 |   0.042589679 |
|    3439.7 |   0.044642165 |
|    3445.0 |   0.047101762 |
|    3450.3 |   0.049561843 |
|    3455.5 |   0.051218573 |
|    3460.8 |   0.053216524 |
| 3466.1001 |   0.055265848 |
|    3471.3 |   0.057328284 |
| 3476.6001 |   0.059367023 |
| 3481.8999 |   0.061452225 |
|    3487.2 |   0.063451186 |
| 3492.3999 |   0.065413944 |
|    3497.7 |   0.067325264 |
|    3503.0 |   0.069163464 |
|    3508.2 |    0.07109037 |
|    3513.5 |   0.073100016 |
|    3518.8 |   0.075102247 |
| 3524.1001 |   0.076977834 |
|    3529.3 |   0.079079188 |
| 3534.6001 |    0.08160007 |
| 3539.8999 |    0.08409363 |
|    3545.2 |   0.086603589 |
| 3550.3999 |   0.089111023 |
|    3555.7 |   0.091577224 |
|    3561.0 |   0.094096854 |
|    3566.2 |    0.09661983 |
|    3571.5 |   0.099100202 |
|    3576.8 |    0.10159291 |
| 3582.1001 |    0.10399215 |
|    3587.3 |    0.10644001 |
| 3592.6001 |    0.10886221 |
| 3597.8999 |    0.11117965 |
|    3603.2 |    0.11351931 |
| 3608.3999 |    0.11586706 |
|    3613.7 |    0.11807083 |
|    3619.0 |    0.12019414 |
|    3624.2 |    0.12237944 |
|    3629.5 |    0.12444025 |
|    3634.8 |    0.12638944 |
| 3640.1001 |    0.12824011 |
|    3645.3 |    0.13014728 |
| 3650.6001 |    0.13191326 |
| 3655.8999 |    0.13356438 |
| 3661.1001 |    0.13516115 |
| 3666.3999 |    0.13675277 |
|    3671.7 |    0.13821104 |
|    3677.0 |    0.13959973 |
|    3682.2 |    0.14094839 |
|    3687.5 |    0.14223495 |
|    3692.8 |    0.14349227 |
|    3698.0 |    0.14461493 |
|    3703.3 |    0.14578308 |
| 3708.6001 |    0.14699093 |
| 3713.8999 |    0.14807113 |
| 3719.1001 |    0.14911698 |
| 3724.3999 |    0.15024912 |
|    3729.7 |     0.1514592 |
|    3735.0 |    0.15257858 |
|    3740.2 |    0.15369943 |
|    3745.5 |    0.15501164 |
|    3750.8 |    0.15629977 |
|    3756.0 |    0.15758938 |
|    3761.3 |    0.15897354 |
| 3766.6001 |    0.16043651 |
| 3771.8999 |    0.16193269 |
| 3777.1001 |    0.16353042 |
| 3782.3999 |    0.16514283 |
|    3787.7 |    0.16680308 |
| 3792.8999 |    0.16851296 |
|    3798.2 |    0.17013317 |
|    3803.5 |    0.17183855 |
|    3808.8 |    0.17351675 |
|    3814.0 |    0.17516679 |
|    3819.3 |    0.17662832 |
| 3824.6001 |    0.17806745 |
|    3829.8 |    0.17942822 |
| 3835.1001 |    0.18046662 |
| 3840.3999 |    0.18122655 |
|    3845.7 |     0.1818857 |
| 3850.8999 |    0.18204729 |
|    3856.2 |    0.18178117 |
|    3861.5 |     0.1812232 |
|    3866.8 |    0.18004891 |
|    3872.0 |    0.17828707 |
|    3877.3 |    0.17590061 |
| 3882.6001 |    0.17275114 |
|    3887.8 |    0.16880819 |
| 3893.1001 |    0.16393414 |
| 3898.3999 |    0.15816906 |
|    3903.7 |    0.15131539 |
| 3908.8999 |    0.14380774 |
|    3914.2 |    0.13501917 |
|    3919.5 |    0.12423973 |
|    3924.7 |    0.11271971 |
|    3930.0 |     0.1006235 |
|    3935.3 |   0.089581378 |
| 3940.6001 |   0.080411188 |
|    3945.8 |   0.071497962 |
| 3951.1001 |   0.062625185 |
| 3956.3999 |   0.053137634 |
| 3961.6001 |   0.043159924 |
| 3966.8999 |    0.03202948 |
|    3972.2 |   0.021747654 |
|    3977.5 |    0.01391679 |
|    3982.7 |  0.0080497349 |
|    3988.0 |  0.0048960675 |
|    3993.3 |  0.0031723576 |
| 3998.6001 |  0.0021164026 |
|    4003.8 |  0.0014992501 |
| 4009.1001 | 0.00097281247 |
| 4014.3999 |   0.000646075 |
| 4019.6001 | 0.00045809249 |
| 4024.8999 | 0.00029512501 |
|    4030.2 | 0.00019473751 |
|    4035.5 | 0.00015509001 |
|    4040.7 |    0.00012673 |
|    4046.0 | 8.4997504e-05 |
