# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): U
# 
# Instrument: VIMOS/Quadrant Q2
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
|    3329.0 |  0.0040708301 |
|    3334.3 |  0.0049909302 |
|    3339.5 |  0.0057653198 |
|    3344.8 |  0.0066036801 |
| 3350.1001 |  0.0079819299 |
| 3355.3999 |  0.0096792597 |
| 3360.6001 |    0.01104793 |
| 3365.8999 |    0.01270819 |
|    3371.2 |    0.01415233 |
|    3376.5 |    0.01543487 |
|    3381.7 |   0.017413139 |
|    3387.0 |   0.019653911 |
|    3392.3 |   0.021254171 |
|    3397.5 |    0.02252588 |
|    3402.8 |    0.02363098 |
| 3408.1001 |    0.02677129 |
| 3413.3999 |   0.029782809 |
| 3418.6001 |   0.031250309 |
| 3423.8999 |    0.03385067 |
|    3429.2 |     0.0366638 |
| 3434.3999 |   0.039858919 |
|    3439.7 |   0.043182619 |
|    3445.0 |    0.04657973 |
|    3450.3 |   0.049989808 |
|    3455.5 |   0.053250581 |
|    3460.8 |   0.056506138 |
| 3466.1001 |   0.059643619 |
|    3471.3 |    0.06254939 |
| 3476.6001 |    0.06541121 |
| 3481.8999 |   0.068128251 |
|    3487.2 |   0.070600912 |
| 3492.3999 |   0.073036946 |
|    3497.7 |   0.075356312 |
|    3503.0 |   0.077425957 |
|    3508.2 |   0.080012828 |
|    3513.5 |   0.083045177 |
|    3518.8 |   0.085927151 |
| 3524.1001 |   0.088798568 |
|    3529.3 |    0.09162347 |
| 3534.6001 |   0.094426312 |
| 3539.8999 |   0.097205073 |
|    3545.2 |   0.099963672 |
| 3550.3999 |    0.10271554 |
|    3555.7 |    0.10542019 |
|    3561.0 |    0.10823827 |
|    3566.2 |    0.11104593 |
|    3571.5 |    0.11371586 |
|    3576.8 |    0.11639732 |
| 3582.1001 |    0.11904502 |
|    3587.3 |    0.12167508 |
| 3592.6001 |    0.12427388 |
| 3597.8999 |    0.12683931 |
|    3603.2 |    0.12936676 |
| 3608.3999 |    0.13184373 |
|    3613.7 |    0.13427337 |
|    3619.0 |    0.13664541 |
|    3624.2 |    0.13895702 |
|    3629.5 |    0.14120261 |
|    3634.8 |    0.14337236 |
| 3640.1001 |    0.14547001 |
|    3645.3 |    0.14748953 |
| 3650.6001 |    0.14942642 |
| 3655.8999 |    0.15129232 |
| 3661.1001 |    0.15303411 |
| 3666.3999 |    0.15486665 |
|    3671.7 |    0.15662371 |
|    3677.0 |    0.15813246 |
|    3682.2 |    0.15960686 |
|    3687.5 |    0.16099992 |
|    3692.8 |    0.16233668 |
|    3698.0 |    0.16361874 |
|    3703.3 |    0.16485503 |
| 3708.6001 |    0.16605532 |
| 3713.8999 |    0.16722687 |
| 3719.1001 |    0.16838323 |
| 3724.3999 |    0.16953413 |
|    3729.7 |    0.17069201 |
|    3735.0 |    0.17186797 |
|    3740.2 |    0.17306992 |
|    3745.5 |     0.1743139 |
|    3750.8 |    0.17561005 |
|    3756.0 |    0.17696084 |
|    3761.3 |    0.17839622 |
| 3766.6001 |    0.17986567 |
| 3771.8999 |    0.18161044 |
| 3777.1001 |    0.18344872 |
| 3782.3999 |    0.18518311 |
|    3787.7 |    0.18704756 |
| 3792.8999 |    0.18899085 |
|    3798.2 |    0.19101904 |
|    3803.5 |    0.19312046 |
|    3808.8 |    0.19528542 |
|    3814.0 |    0.19749233 |
|    3819.3 |    0.19972779 |
| 3824.6001 |    0.20196411 |
|    3829.8 |    0.20417459 |
| 3835.1001 |    0.20632572 |
| 3840.3999 |    0.20837528 |
|    3845.7 |    0.21028695 |
| 3850.8999 |    0.21200971 |
|    3856.2 |    0.21348675 |
|    3861.5 |    0.21467677 |
|    3866.8 |    0.21544975 |
|    3872.0 |    0.21601336 |
|    3877.3 |     0.2160711 |
| 3882.6001 |    0.21531092 |
|    3887.8 |    0.21392675 |
| 3893.1001 |    0.21176761 |
| 3898.3999 |    0.20875254 |
|    3903.7 |    0.20478146 |
| 3908.8999 |    0.19975002 |
|    3914.2 |    0.19355316 |
|    3919.5 |    0.18609716 |
|    3924.7 |    0.17725039 |
|    3930.0 |    0.16691528 |
|    3935.3 |    0.15497053 |
| 3940.6001 |    0.14130507 |
|    3945.8 |    0.12583397 |
| 3951.1001 |    0.10843378 |
| 3956.3999 |   0.088914923 |
| 3961.6001 |   0.067582093 |
| 3966.8999 |   0.042771529 |
|    3972.2 |     0.0218246 |
|    3977.5 |    0.01214291 |
|    3982.7 |  0.0080343504 |
|    3988.0 |    0.00525844 |
|    3993.3 |  0.0035276699 |
| 3998.6001 |    0.00245511 |
|    4003.8 |  0.0016623701 |
| 4009.1001 |    0.00103722 |
| 4014.3999 | 0.00068231003 |
| 4019.6001 | 0.00052686001 |
| 4024.8999 | 0.00032925999 |
|    4030.2 |    0.00020413 |
|    4035.5 |    0.00016347 |
|    4040.7 | 0.00017078999 |
|    4046.0 |    0.00011086 |
