# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): V
# 
# Instrument: VIMOS
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 4802.5298 |  0.0015138855 |
| 4807.7998 |   0.001823751 |
| 4813.0698 |  0.0019189611 |
| 4818.3501 |  0.0014534933 |
| 4823.6201 |  0.0010659557 |
| 4828.8901 | 0.00075411622 |
| 4834.1602 | 0.00053227099 |
| 4839.4302 | 0.00052692724 |
|   4844.71 | 0.00056682952 |
|   4849.98 | 0.00066408498 |
|   4855.25 | 0.00099155121 |
|   4860.52 |  0.0013246535 |
|   4865.79 |  0.0018529354 |
| 4871.0698 |  0.0026676126 |
| 4876.3398 |  0.0035932723 |
| 4881.6099 |  0.0051328051 |
| 4886.8799 |  0.0067548752 |
| 4892.1602 |  0.0087581724 |
| 4897.4302 |   0.011006025 |
| 4902.7002 |    0.01409894 |
| 4907.9702 |   0.017878067 |
| 4913.2402 |     0.0243687 |
|   4918.52 |   0.027730551 |
|   4923.79 |   0.031937625 |
| 4929.0601 |   0.037550498 |
| 4934.3301 |   0.042438105 |
| 4939.6001 |   0.048076175 |
| 4944.8799 |   0.054302201 |
| 4950.1499 |   0.060994249 |
| 4955.4199 |   0.068064176 |
| 4960.6899 |   0.075371496 |
|   4965.96 |   0.082830653 |
| 4971.2402 |   0.090380698 |
| 4976.5098 |    0.09795478 |
| 4981.7798 |    0.10551262 |
| 4987.0498 |    0.11298233 |
| 4992.3198 |    0.12038623 |
| 4997.6001 |    0.12765026 |
| 5002.8701 |      0.134545 |
| 5008.1401 |    0.14144701 |
| 5013.4102 |    0.14814824 |
| 5018.6802 |    0.15457425 |
|   5023.96 |    0.16078874 |
|   5029.23 |    0.16675951 |
|    5034.5 |    0.17249799 |
|   5039.77 |    0.17800599 |
|   5045.04 |    0.18329524 |
| 5050.3198 |    0.18834525 |
| 5055.5898 |    0.19317426 |
| 5060.8599 |    0.19779776 |
| 5066.1299 |    0.20220076 |
| 5071.3999 |    0.20640276 |
| 5076.6802 |    0.21040851 |
| 5081.9502 |     0.2141495 |
| 5087.2202 |    0.21787176 |
| 5092.4902 |     0.2213375 |
| 5097.7598 |    0.22455849 |
|   5103.04 |     0.2277905 |
| 5108.3101 |     0.2306895 |
| 5113.5801 |    0.23362973 |
| 5118.8501 |    0.23625675 |
| 5124.1201 |    0.23893125 |
| 5129.3999 |    0.24128899 |
| 5134.6699 |     0.2435365 |
| 5139.9399 |    0.24585375 |
|   5145.21 |    0.24796751 |
|   5150.48 |    0.24987775 |
| 5155.7598 |    0.25178275 |
| 5161.0298 |    0.25359225 |
| 5166.2998 |    0.25531399 |
| 5171.5698 |    0.25683424 |
| 5176.8501 |    0.25837147 |
| 5182.1201 |    0.25983176 |
| 5187.3901 |    0.26120675 |
| 5192.6602 |    0.26249623 |
| 5197.9302 |    0.26361877 |
|   5203.21 |     0.2647635 |
