# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): V
# 
# Instrument: VIMOS/Quadrant Q4
# 
# Determined by: Mieske et al. 2007:
#   http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/filters_2007-04-04/memo_filtrans_March26th.pdf
# 
# Date of determination: 2007-Mar-26
# 
# Notes: response function including filter+CCD+telescope optics
# 
# Downloaded from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# J. Moustakas, 2008-Jul-12, NYU
|    lambda |          pass |
| 4802.5298 |  0.0054059499 |
| 4807.7998 |  0.0067558601 |
| 4813.0698 |  0.0069691502 |
| 4818.3501 |  0.0053075501 |
| 4823.6201 |    0.00363183 |
| 4828.8901 |  0.0023497799 |
| 4834.1602 |    0.00145321 |
| 4839.4302 |     0.0011414 |
|   4844.71 | 0.00081639801 |
|   4849.98 | 0.00075714401 |
|   4855.25 | 0.00099150499 |
|   4860.52 |    0.00130672 |
|   4865.79 |    0.00193425 |
| 4871.0698 |     0.0027558 |
| 4876.3398 |  0.0036770899 |
| 4881.6099 |    0.00527388 |
| 4886.8799 |  0.0069969101 |
| 4892.1602 |  0.0092398599 |
| 4897.4302 |     0.0117943 |
| 4902.7002 |     0.0153223 |
| 4907.9702 |     0.0198738 |
| 4913.2402 |   0.031254798 |
|   4918.52 |   0.032412902 |
|   4923.79 |   0.035190102 |
| 4929.0601 |   0.039321098 |
| 4934.3301 |     0.0445024 |
| 4939.6001 |   0.050646901 |
| 4944.8799 |   0.057509001 |
| 4950.1499 |   0.064826503 |
| 4955.4199 |   0.072637297 |
| 4960.6899 |      0.080729 |
|   4965.96 |   0.088991702 |
| 4971.2402 |   0.097184598 |
| 4976.5098 |      0.105507 |
| 4981.7798 |      0.113757 |
| 4987.0498 |      0.121694 |
| 4992.3198 |    0.12962601 |
| 4997.6001 |      0.137344 |
| 5002.8701 |    0.14459901 |
| 5008.1401 |      0.151795 |
| 5013.4102 |    0.15870801 |
| 5018.6802 |      0.165075 |
|   5023.96 |    0.17138401 |
|   5029.23 |    0.17738999 |
|    5034.5 |      0.182816 |
|   5039.77 |      0.188215 |
|   5045.04 |      0.193325 |
| 5050.3198 |      0.197851 |
| 5055.5898 |    0.20240299 |
| 5060.8599 |    0.20669501 |
| 5066.1299 |      0.210419 |
| 5071.3999 |    0.21422701 |
| 5076.6802 |      0.217482 |
| 5081.9502 |      0.220861 |
| 5087.2202 |      0.224049 |
| 5092.4902 |      0.226711 |
| 5097.7598 |      0.229553 |
|   5103.04 |      0.232245 |
| 5108.3101 |    0.23443601 |
| 5113.5801 |    0.23685899 |
| 5118.8501 |      0.238796 |
| 5124.1201 |      0.240995 |
| 5129.3999 |      0.243099 |
| 5134.6699 |      0.244735 |
| 5139.9399 |    0.24666999 |
|   5145.21 |    0.24814799 |
|   5150.48 |      0.249944 |
| 5155.7598 |      0.251681 |
| 5161.0298 |    0.25297001 |
