# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): I
# 
# collected by: Guangtun Zhu
# 
# from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# on MAY 2009, NYU:
# 
# Note 1: I only include Q.E. between  6500.5 AA and  9494.5 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
|    lambda |          pass |
| 6500.5298 | 0.00010779598 |
| 6507.6401 | 0.00010718065 |
|   6514.75 | 6.4719352e-05 |
| 6521.8599 |  9.559383e-05 |
|   6528.98 | 8.5518492e-05 |
| 6536.0898 | 0.00010893945 |
| 6543.2002 | 6.3418272e-05 |
| 6550.3101 | 8.1742328e-05 |
| 6557.4199 | 0.00013074801 |
| 6564.5298 | 0.00014564929 |
| 6571.6499 | 6.8346548e-05 |
| 6578.7598 |  0.0001150912 |
| 6585.8701 | 0.00011616141 |
|   6592.98 |  0.0001390734 |
| 6600.0898 | 9.9494253e-05 |
| 6607.2002 | 9.0828908e-05 |
| 6614.3101 |  0.0001548717 |
| 6621.4302 | 0.00012848015 |
|   6628.54 | 9.9175581e-05 |
| 6635.6499 |  9.842623e-05 |
| 6642.7598 | 9.9916913e-05 |
| 6649.8701 | 9.7738375e-05 |
|   6656.98 | 0.00011425813 |
| 6664.0898 |  0.0001101032 |
|   6671.21 | 8.8434121e-05 |
| 6678.3198 | 0.00010153285 |
| 6685.4302 | 0.00010925047 |
|   6692.54 | 0.00011191063 |
| 6699.6499 | 0.00010300067 |
| 6706.7598 | 7.7879427e-05 |
| 6713.8799 | 6.6919347e-05 |
| 6720.9902 | 9.1477894e-05 |
| 6728.1001 | 0.00012612426 |
|   6735.21 | 0.00012035749 |
| 6742.3198 | 7.6829834e-05 |
| 6749.4302 | 8.0966434e-05 |
|   6756.54 | 9.2687835e-05 |
| 6763.6602 | 0.00011384725 |
|   6770.77 | 0.00012931999 |
| 6777.8799 | 0.00012526537 |
| 6784.9902 | 0.00010065344 |
| 6792.1001 | 9.3321891e-05 |
|   6799.21 | 0.00013260353 |
| 6806.3301 | 9.7414304e-05 |
| 6813.4399 | 0.00012585286 |
| 6820.5498 | 8.8806242e-05 |
| 6827.6602 | 9.7270051e-05 |
|   6834.77 | 0.00012581989 |
| 6841.8799 | 0.00012758905 |
| 6848.9902 | 0.00011066831 |
| 6856.1099 | 0.00010212333 |
| 6863.2202 | 0.00012775268 |
| 6870.3301 | 0.00012056423 |
| 6877.4399 | 0.00011936855 |
