# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Names(s): z
# 
# collected by: Guangtun Zhu
# 
# from http://www.eso.org/sci/facilities/paranal/instruments/vimos/inst/imaging.html
# 
# on MAY 2009, NYU:
# 
# Note 1: I only include Q.E. between  7403.7 AA and 10966.6 AA
# 
# Note 2: It seems the curves didnot include atmospheric extinction. I added it by oke way
#   oke, filter.lambda, 1., 1.3, ext
#   filter.pass=filter.pass*10.^(-0.4*ext)
# 
# Note 3: CCD response calculated from I band, definitely not perfect!!! Needs improvement!
# 
|    lambda |          pass |
| 7403.6899 | 7.0511119e-06 |
| 7410.7998 |  6.072526e-06 |
| 7417.9199 | 6.8331174e-06 |
| 7425.0298 | 6.8604236e-06 |
| 7432.1401 | 4.5664246e-06 |
|   7439.25 | 3.7950242e-06 |
| 7446.3599 | 4.3889331e-06 |
| 7453.4702 | 6.6881621e-06 |
| 7460.5801 | 9.7890579e-06 |
| 7467.7002 | 7.3435117e-06 |
| 7474.8101 | 6.9094522e-06 |
| 7481.9199 | 8.4066696e-06 |
| 7489.0298 | 7.9661822e-06 |
| 7496.1401 | 8.6197933e-06 |
|   7503.25 | 7.3829519e-06 |
| 7510.3701 | 8.4343337e-06 |
|   7517.48 | 1.0191735e-05 |
| 7524.5898 | 1.1188932e-05 |
| 7531.7002 | 9.7429947e-06 |
| 7538.8101 | 1.0962836e-05 |
| 7545.9199 | 1.0055625e-05 |
| 7553.0298 | 8.2768047e-06 |
| 7560.1499 | 8.3214709e-06 |
| 7567.2598 | 1.1037742e-05 |
| 7574.3701 | 1.4443027e-05 |
|   7581.48 | 1.5008996e-05 |
| 7588.5898 | 1.1944502e-05 |
| 7595.7002 | 9.2832706e-06 |
| 7602.8101 | 6.6504731e-06 |
| 7609.9302 | 5.5455694e-06 |
|   7617.04 |  5.291542e-06 |
| 7624.1499 | 3.1835784e-06 |
| 7631.2598 | 1.5924041e-06 |
| 7638.3701 | 2.8582872e-06 |
|   7645.48 | 3.3810254e-06 |
| 7652.6001 |   3.37663e-06 |
|   7659.71 | 2.3655136e-06 |
| 7666.8198 |  3.047825e-06 |
| 7673.9302 | 4.2048532e-06 |
|   7681.04 | 5.4843294e-06 |
| 7688.1499 | 5.2823848e-06 |
| 7695.2598 | 6.9930697e-06 |
| 7702.3799 | 1.0131559e-05 |
| 7709.4902 | 6.6529433e-06 |
| 7716.6001 | 3.0968445e-06 |
|   7723.71 | 1.1377509e-06 |
| 7730.8198 |  1.640663e-06 |
| 7737.9302 | 4.3952869e-06 |
| 7745.0498 | 2.7357066e-06 |
| 7752.1602 | 2.5347665e-06 |
|   7759.27 |  3.808485e-06 |
| 7766.3799 | 5.6727104e-06 |
| 7773.4902 | 8.2932011e-06 |
| 7780.6001 | 1.1334773e-05 |
|   7787.71 | 1.3327067e-05 |
| 7794.8301 | 1.6402058e-05 |
| 7801.9399 | 1.7220889e-05 |
| 7809.0498 | 1.8372097e-05 |
