# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
# 
# Bandpass Name(s): H
# 
# Instrument: WFCAM on UKIRT, Mauna Kea, Hawaii
# 
# Determined by: Hewett et al. (2006)
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: 1.3 airmass; typical for observations
# 
# Notes:
# 
# This file created from the above paper by
# Anthony Smith 2005-11-18
|  lambda |  pass |
| 14210.0 |   0.0 |
| 14220.0 | 0.001 |
| 14230.0 |   0.0 |
| 14240.0 |   0.0 |
| 14250.0 | 0.001 |
| 14260.0 | 0.001 |
| 14270.0 | 0.001 |
| 14280.0 | 0.001 |
| 14290.0 | 0.001 |
| 14299.0 | 0.001 |
| 14310.0 | 0.001 |
| 14320.0 | 0.001 |
| 14330.0 | 0.001 |
| 14340.0 | 0.001 |
| 14349.0 | 0.001 |
| 14360.0 | 0.001 |
| 14370.0 | 0.001 |
| 14380.0 | 0.001 |
| 14390.0 | 0.002 |
| 14400.0 | 0.002 |
| 14410.0 | 0.002 |
| 14420.0 | 0.002 |
| 14430.0 | 0.001 |
| 14440.0 | 0.003 |
| 14450.0 | 0.003 |
| 14460.0 | 0.002 |
| 14470.0 | 0.003 |
| 14480.0 | 0.004 |
| 14490.0 | 0.004 |
| 14500.0 | 0.004 |
| 14510.0 | 0.003 |
| 14520.0 | 0.005 |
| 14529.0 | 0.004 |
| 14540.0 | 0.006 |
| 14550.0 | 0.006 |
| 14560.0 | 0.007 |
| 14570.0 | 0.007 |
| 14579.0 | 0.008 |
| 14590.0 |  0.01 |
| 14600.0 |  0.01 |
| 14610.0 | 0.011 |
| 14620.0 | 0.012 |
| 14630.0 |  0.01 |
| 14640.0 | 0.014 |
| 14650.0 | 0.013 |
| 14660.0 | 0.014 |
| 14670.0 | 0.013 |
| 14680.0 | 0.018 |
| 14690.0 | 0.022 |
| 14700.0 | 0.023 |
| 14710.0 | 0.016 |
| 14720.0 | 0.028 |
| 14730.0 |  0.03 |
| 14740.0 | 0.032 |
| 14750.0 |  0.04 |
| 14760.0 | 0.032 |
| 14770.0 | 0.035 |
| 14780.0 | 0.034 |
| 14790.0 | 0.052 |
| 14800.0 | 0.055 |
| 14809.0 | 0.064 |
| 14820.0 | 0.056 |
| 14830.0 | 0.073 |
| 14840.0 |  0.08 |
| 14850.0 | 0.087 |
| 14859.0 |  0.09 |
| 14870.0 | 0.092 |
| 14880.0 | 0.093 |
| 14890.0 | 0.114 |
| 14900.0 | 0.121 |
| 14910.0 |  0.13 |
| 14920.0 | 0.133 |
| 14930.0 |  0.14 |
| 14940.0 | 0.148 |
| 14950.0 | 0.147 |
| 14960.0 | 0.162 |
| 14970.0 | 0.173 |
| 14980.0 | 0.169 |
| 14990.0 | 0.182 |
| 15000.0 |  0.19 |
| 15010.0 | 0.196 |
| 15020.0 | 0.196 |
| 15030.0 | 0.201 |
| 15039.0 | 0.193 |
| 15050.0 | 0.209 |
| 15060.0 | 0.216 |
| 15070.0 | 0.219 |
| 15080.0 | 0.222 |
| 15089.0 | 0.214 |
| 15100.0 | 0.226 |
| 15110.0 | 0.227 |
| 15120.0 |  0.23 |
| 15130.0 | 0.229 |
| 15140.0 |  0.23 |
| 15150.0 | 0.233 |
| 15160.0 | 0.235 |
| 15170.0 | 0.235 |
| 15180.0 | 0.237 |
| 15190.0 | 0.235 |
| 15200.0 | 0.238 |
| 15210.0 | 0.239 |
| 15220.0 | 0.238 |
| 15230.0 |  0.24 |
| 15240.0 |  0.24 |
| 15250.0 |  0.24 |
| 15260.0 |  0.24 |
| 15269.0 |  0.24 |
| 15280.0 | 0.241 |
| 15290.0 | 0.241 |
| 15300.0 | 0.242 |
| 15310.0 | 0.242 |
| 15319.0 | 0.242 |
| 15330.0 | 0.242 |
| 15340.0 | 0.241 |
| 15350.0 | 0.241 |
| 15360.0 | 0.242 |
| 15369.0 | 0.243 |
| 15380.0 | 0.244 |
| 15390.0 | 0.244 |
| 15400.0 | 0.244 |
| 15410.0 | 0.245 |
| 15420.0 | 0.245 |
| 15430.0 | 0.246 |
| 15440.0 | 0.247 |
| 15450.0 | 0.247 |
| 15460.0 | 0.248 |
| 15470.0 | 0.248 |
| 15480.0 | 0.248 |
| 15490.0 | 0.249 |
| 15500.0 | 0.249 |
| 15510.0 |  0.25 |
| 15520.0 |  0.25 |
| 15530.0 | 0.251 |
| 15540.0 | 0.251 |
| 15549.0 | 0.251 |
| 15560.0 | 0.252 |
| 15570.0 | 0.252 |
| 15580.0 | 0.253 |
| 15590.0 | 0.253 |
| 15599.0 | 0.253 |
| 15610.0 | 0.254 |
| 15620.0 | 0.254 |
| 15630.0 | 0.254 |
| 15640.0 | 0.255 |
| 15650.0 | 0.255 |
| 15660.0 | 0.255 |
| 15670.0 | 0.256 |
| 15680.0 | 0.255 |
| 15690.0 | 0.253 |
| 15700.0 | 0.249 |
| 15710.0 | 0.244 |
| 15720.0 | 0.241 |
