# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
# 
# Bandpass Name(s): J
# 
# Instrument: WFCAM on UKIRT, Mauna Kea, Hawaii
# 
# Determined by: Hewett et al. (2006)
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: 1.3 airmass; typical for observations
# 
# Notes:
# 
# This file created from the above paper by
# Anthony Smith 2005-11-18
|  lambda |  pass |
| 11300.0 |   0.0 |
| 11310.0 | 0.001 |
| 11320.0 | 0.001 |
| 11330.0 | 0.001 |
| 11339.0 | 0.001 |
| 11350.0 |   0.0 |
| 11360.0 | 0.001 |
| 11370.0 | 0.001 |
| 11380.0 | 0.001 |
| 11390.0 | 0.001 |
| 11400.0 | 0.001 |
| 11410.0 | 0.001 |
| 11420.0 | 0.002 |
| 11430.0 | 0.002 |
| 11440.0 | 0.002 |
| 11450.0 | 0.002 |
| 11460.0 | 0.003 |
| 11470.0 | 0.003 |
| 11480.0 | 0.004 |
| 11490.0 | 0.004 |
| 11500.0 | 0.005 |
| 11510.0 | 0.006 |
| 11519.0 | 0.006 |
| 11530.0 | 0.009 |
| 11540.0 | 0.009 |
| 11550.0 | 0.012 |
| 11560.0 | 0.014 |
| 11569.0 | 0.017 |
| 11580.0 | 0.019 |
| 11590.0 | 0.021 |
| 11600.0 | 0.028 |
| 11610.0 | 0.033 |
| 11619.0 | 0.039 |
| 11630.0 | 0.047 |
| 11640.0 | 0.054 |
| 11650.0 | 0.062 |
| 11660.0 | 0.071 |
| 11670.0 | 0.082 |
| 11680.0 | 0.095 |
| 11690.0 | 0.106 |
| 11700.0 | 0.117 |
| 11710.0 | 0.126 |
| 11720.0 | 0.137 |
| 11730.0 | 0.144 |
| 11740.0 | 0.145 |
| 11750.0 | 0.159 |
| 11760.0 | 0.164 |
| 11770.0 | 0.167 |
| 11780.0 | 0.167 |
| 11790.0 | 0.172 |
| 11799.0 | 0.172 |
| 11810.0 | 0.173 |
| 11820.0 | 0.161 |
| 11830.0 | 0.175 |
| 11840.0 | 0.175 |
| 11849.0 | 0.169 |
| 11860.0 | 0.176 |
| 11870.0 | 0.175 |
| 11880.0 | 0.172 |
| 11890.0 | 0.176 |
| 11900.0 | 0.178 |
| 11910.0 | 0.176 |
| 11920.0 | 0.177 |
| 11930.0 | 0.178 |
| 11940.0 | 0.179 |
| 11950.0 | 0.177 |
| 11960.0 | 0.178 |
| 11970.0 | 0.178 |
| 11980.0 | 0.178 |
| 11990.0 | 0.173 |
| 12000.0 | 0.176 |
| 12010.0 | 0.175 |
| 12020.0 | 0.174 |
| 12029.0 | 0.177 |
| 12040.0 | 0.168 |
| 12050.0 | 0.171 |
| 12060.0 | 0.178 |
| 12070.0 | 0.177 |
| 12079.0 | 0.177 |
| 12090.0 | 0.178 |
| 12100.0 | 0.179 |
| 12110.0 | 0.183 |
| 12120.0 | 0.184 |
| 12130.0 | 0.186 |
| 12140.0 | 0.186 |
| 12150.0 | 0.187 |
| 12160.0 | 0.191 |
| 12170.0 | 0.191 |
| 12180.0 | 0.192 |
| 12190.0 | 0.191 |
| 12200.0 | 0.194 |
| 12210.0 | 0.195 |
| 12220.0 | 0.195 |
| 12230.0 | 0.195 |
| 12240.0 | 0.195 |
| 12250.0 | 0.195 |
| 12260.0 | 0.195 |
| 12270.0 | 0.193 |
| 12280.0 | 0.194 |
| 12290.0 | 0.193 |
| 12300.0 | 0.193 |
| 12309.0 | 0.192 |
| 12320.0 | 0.192 |
| 12330.0 | 0.191 |
| 12340.0 | 0.191 |
| 12350.0 | 0.191 |
| 12359.0 | 0.191 |
