# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
# 
# Bandpass Name(s): K
# 
# Instrument: WFCAM on UKIRT, Mauna Kea, Hawaii
# 
# Determined by: Hewett et al. (2006)
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: 1.3 airmass; typical for observations
# 
# Notes:
# 
# This file created from the above paper by
# Anthony Smith 2005-11-18
|  lambda |  pass |
| 19170.0 |   0.0 |
| 19180.0 | 0.001 |
| 19190.0 | 0.001 |
| 19200.0 |   0.0 |
| 19210.0 |   0.0 |
| 19220.0 | 0.001 |
| 19230.0 | 0.001 |
| 19240.0 |   0.0 |
| 19250.0 | 0.001 |
| 19260.0 | 0.001 |
| 19270.0 |   0.0 |
| 19280.0 | 0.001 |
| 19290.0 | 0.001 |
| 19300.0 | 0.001 |
| 19310.0 |   0.0 |
| 19320.0 | 0.001 |
| 19330.0 | 0.001 |
| 19340.0 |   0.0 |
| 19350.0 | 0.002 |
| 19360.0 | 0.002 |
| 19370.0 | 0.002 |
| 19380.0 | 0.001 |
| 19390.0 | 0.001 |
| 19400.0 | 0.001 |
| 19410.0 | 0.001 |
| 19420.0 | 0.002 |
| 19430.0 | 0.002 |
| 19440.0 | 0.002 |
| 19450.0 | 0.001 |
| 19460.0 | 0.002 |
| 19470.0 | 0.002 |
| 19480.0 | 0.002 |
| 19490.0 | 0.003 |
| 19500.0 | 0.003 |
| 19510.0 | 0.003 |
| 19520.0 | 0.003 |
| 19530.0 | 0.003 |
| 19540.0 | 0.003 |
| 19550.0 | 0.003 |
| 19560.0 | 0.003 |
| 19570.0 | 0.003 |
| 19580.0 | 0.003 |
| 19590.0 | 0.003 |
| 19600.0 | 0.004 |
| 19610.0 | 0.003 |
| 19620.0 | 0.004 |
| 19630.0 | 0.004 |
| 19640.0 | 0.003 |
| 19650.0 | 0.005 |
| 19660.0 | 0.004 |
| 19670.0 | 0.006 |
| 19680.0 | 0.004 |
| 19690.0 | 0.007 |
| 19700.0 | 0.006 |
| 19710.0 | 0.006 |
| 19720.0 | 0.007 |
| 19730.0 | 0.007 |
| 19740.0 | 0.007 |
| 19750.0 | 0.009 |
| 19760.0 | 0.008 |
| 19770.0 | 0.009 |
| 19780.0 |  0.01 |
| 19790.0 | 0.011 |
| 19800.0 | 0.008 |
| 19810.0 | 0.011 |
| 19820.0 | 0.012 |
| 19830.0 | 0.012 |
| 19840.0 | 0.013 |
| 19850.0 | 0.013 |
| 19860.0 | 0.014 |
| 19870.0 | 0.011 |
| 19880.0 | 0.015 |
| 19890.0 | 0.016 |
| 19900.0 | 0.015 |
| 19910.0 | 0.017 |
| 19920.0 | 0.018 |
| 19930.0 | 0.019 |
| 19940.0 | 0.019 |
| 19950.0 | 0.021 |
| 19960.0 | 0.021 |
| 19970.0 |  0.02 |
| 19980.0 | 0.018 |
| 19990.0 | 0.017 |
| 20000.0 | 0.018 |
| 20010.0 | 0.014 |
| 20020.0 | 0.012 |
| 20030.0 | 0.009 |
| 20040.0 |  0.01 |
| 20050.0 | 0.012 |
| 20060.0 | 0.017 |
| 20070.0 | 0.022 |
| 20079.0 | 0.018 |
| 20090.0 | 0.037 |
| 20100.0 | 0.026 |
| 20110.0 | 0.023 |
| 20120.0 | 0.028 |
| 20130.0 | 0.023 |
| 20140.0 | 0.037 |
| 20150.0 | 0.019 |
| 20160.0 | 0.039 |
| 20170.0 | 0.047 |
| 20179.0 | 0.032 |
| 20190.0 |  0.04 |
| 20200.0 | 0.063 |
| 20210.0 | 0.074 |
| 20220.0 | 0.069 |
| 20230.0 | 0.067 |
| 20240.0 | 0.074 |
| 20250.0 | 0.092 |
| 20260.0 | 0.102 |
| 20270.0 |  0.11 |
| 20280.0 | 0.114 |
| 20290.0 | 0.122 |
| 20300.0 | 0.128 |
| 20309.0 | 0.131 |
| 20320.0 | 0.136 |
| 20330.0 | 0.139 |
| 20340.0 | 0.145 |
| 20350.0 | 0.149 |
| 20360.0 | 0.153 |
| 20370.0 | 0.157 |
| 20380.0 | 0.161 |
| 20390.0 | 0.164 |
| 20400.0 | 0.162 |
| 20409.0 | 0.165 |
| 20420.0 | 0.168 |
| 20430.0 | 0.176 |
| 20440.0 | 0.175 |
| 20450.0 |  0.18 |
| 20460.0 | 0.183 |
| 20470.0 |  0.18 |
| 20480.0 | 0.172 |
| 20490.0 | 0.171 |
| 20500.0 | 0.156 |
| 20510.0 | 0.135 |
| 20520.0 | 0.138 |
| 20530.0 | 0.158 |
| 20539.0 | 0.155 |
| 20550.0 |  0.12 |
| 20560.0 | 0.149 |
| 20570.0 | 0.161 |
| 20580.0 |  0.13 |
| 20590.0 | 0.183 |
| 20600.0 | 0.171 |
| 20610.0 |  0.16 |
| 20620.0 | 0.188 |
| 20630.0 | 0.122 |
| 20639.0 | 0.181 |
| 20650.0 | 0.146 |
| 20660.0 | 0.155 |
| 20670.0 | 0.186 |
| 20680.0 | 0.139 |
| 20690.0 | 0.183 |
| 20700.0 | 0.194 |
| 20710.0 | 0.159 |
| 20720.0 | 0.176 |
| 20730.0 | 0.204 |
| 20739.0 | 0.196 |
| 20750.0 | 0.176 |
| 20760.0 | 0.196 |
| 20770.0 | 0.205 |
| 20780.0 | 0.208 |
| 20790.0 | 0.211 |
| 20800.0 | 0.209 |
| 20810.0 | 0.211 |
| 20820.0 |  0.21 |
| 20830.0 |  0.21 |
| 20840.0 | 0.209 |
| 20850.0 | 0.209 |
| 20860.0 | 0.213 |
| 20869.0 | 0.211 |
| 20880.0 | 0.216 |
| 20890.0 | 0.217 |
| 20900.0 | 0.211 |
| 20910.0 | 0.216 |
| 20920.0 | 0.219 |
| 20930.0 |  0.22 |
| 20940.0 | 0.215 |
| 20950.0 |  0.22 |
| 20960.0 |  0.22 |
| 20969.0 | 0.221 |
| 20980.0 | 0.221 |
| 20990.0 | 0.219 |
| 21000.0 | 0.222 |
| 21010.0 | 0.222 |
| 21020.0 | 0.221 |
| 21030.0 | 0.222 |
| 21040.0 | 0.223 |
| 21050.0 | 0.222 |
| 21060.0 | 0.223 |
| 21070.0 | 0.223 |
| 21080.0 | 0.223 |
| 21090.0 | 0.222 |
| 21099.0 | 0.222 |
| 21110.0 | 0.222 |
| 21120.0 | 0.221 |
| 21130.0 | 0.224 |
| 21140.0 | 0.223 |
| 21150.0 | 0.224 |
| 21160.0 | 0.224 |
| 21170.0 | 0.224 |
| 21180.0 | 0.224 |
| 21190.0 | 0.224 |
| 21199.0 | 0.223 |
| 21210.0 | 0.224 |
| 21220.0 | 0.225 |
| 21230.0 | 0.225 |
| 21240.0 | 0.225 |
| 21250.0 | 0.225 |
| 21260.0 | 0.226 |
| 21270.0 | 0.226 |
| 21280.0 | 0.223 |
| 21290.0 | 0.226 |
| 21300.0 | 0.226 |
| 21310.0 | 0.227 |
| 21320.0 | 0.227 |
| 21329.0 | 0.227 |
| 21340.0 | 0.227 |
| 21350.0 | 0.227 |
| 21360.0 | 0.226 |
| 21370.0 | 0.227 |
| 21380.0 | 0.228 |
| 21390.0 | 0.228 |
| 21400.0 | 0.228 |
| 21410.0 | 0.228 |
| 21420.0 | 0.228 |
| 21429.0 | 0.227 |
| 21440.0 | 0.228 |
| 21450.0 | 0.228 |
| 21460.0 | 0.228 |
| 21470.0 | 0.228 |
| 21480.0 | 0.228 |
| 21490.0 | 0.227 |
| 21500.0 | 0.227 |
| 21510.0 | 0.228 |
| 21520.0 | 0.227 |
| 21530.0 | 0.226 |
| 21540.0 | 0.228 |
| 21550.0 | 0.227 |
| 21559.0 | 0.229 |
| 21570.0 | 0.229 |
| 21580.0 | 0.229 |
| 21590.0 | 0.226 |
| 21600.0 | 0.228 |
| 21610.0 | 0.224 |
| 21620.0 | 0.229 |
| 21630.0 | 0.229 |
| 21640.0 | 0.229 |
| 21650.0 | 0.229 |
| 21659.0 | 0.229 |
| 21670.0 | 0.224 |
| 21680.0 | 0.228 |
| 21690.0 | 0.228 |
| 21700.0 | 0.229 |
| 21710.0 | 0.229 |
| 21720.0 | 0.229 |
| 21730.0 | 0.226 |
| 21740.0 | 0.228 |
| 21750.0 | 0.228 |
| 21760.0 | 0.228 |
| 21770.0 | 0.229 |
| 21780.0 | 0.228 |
| 21789.0 | 0.228 |
| 21800.0 | 0.228 |
| 21810.0 | 0.228 |
| 21820.0 | 0.228 |
| 21830.0 | 0.227 |
| 21840.0 | 0.222 |
| 21850.0 | 0.217 |
| 21860.0 | 0.228 |
| 21870.0 | 0.226 |
| 21880.0 | 0.226 |
| 21889.0 | 0.228 |
| 21900.0 | 0.228 |
| 21910.0 | 0.228 |
| 21920.0 | 0.228 |
| 21930.0 | 0.228 |
| 21940.0 | 0.228 |
| 21950.0 |  0.22 |
| 21960.0 | 0.228 |
| 21970.0 | 0.228 |
| 21980.0 | 0.226 |
| 21989.0 | 0.224 |
| 22000.0 | 0.207 |
| 22010.0 | 0.225 |
| 22020.0 | 0.221 |
| 22030.0 | 0.223 |
| 22040.0 | 0.225 |
| 22050.0 | 0.217 |
| 22060.0 | 0.226 |
| 22070.0 | 0.228 |
| 22080.0 | 0.228 |
| 22090.0 | 0.228 |
| 22100.0 | 0.229 |
| 22110.0 | 0.227 |
| 22119.0 | 0.229 |
| 22130.0 | 0.229 |
| 22140.0 | 0.229 |
| 22150.0 | 0.228 |
| 22160.0 | 0.224 |
| 22170.0 | 0.229 |
| 22180.0 | 0.229 |
| 22190.0 |  0.23 |
| 22200.0 |  0.23 |
| 22210.0 |  0.23 |
| 22219.0 | 0.225 |
| 22230.0 | 0.231 |
| 22240.0 |  0.23 |
| 22250.0 | 0.231 |
| 22260.0 |  0.23 |
| 22270.0 | 0.227 |
| 22280.0 | 0.231 |
| 22290.0 | 0.232 |
| 22300.0 | 0.233 |
| 22310.0 | 0.232 |
| 22320.0 | 0.231 |
| 22330.0 | 0.232 |
| 22340.0 | 0.233 |
| 22349.0 | 0.233 |
| 22360.0 | 0.231 |
| 22370.0 | 0.233 |
| 22380.0 | 0.228 |
| 22390.0 | 0.236 |
| 22400.0 | 0.235 |
| 22410.0 | 0.234 |
| 22420.0 | 0.237 |
| 22430.0 | 0.234 |
| 22440.0 | 0.226 |
| 22449.0 | 0.238 |
| 22460.0 | 0.228 |
| 22470.0 | 0.226 |
| 22480.0 | 0.238 |
| 22490.0 | 0.237 |
| 22500.0 | 0.236 |
| 22510.0 | 0.234 |
| 22520.0 | 0.238 |
| 22530.0 | 0.235 |
| 22540.0 | 0.223 |
| 22550.0 | 0.237 |
| 22560.0 | 0.227 |
| 22570.0 | 0.222 |
| 22579.0 | 0.234 |
| 22590.0 | 0.238 |
| 22600.0 | 0.232 |
| 22610.0 | 0.215 |
| 22620.0 | 0.223 |
| 22630.0 | 0.239 |
| 22640.0 | 0.232 |
| 22650.0 | 0.225 |
| 22660.0 | 0.237 |
| 22670.0 | 0.235 |
| 22679.0 | 0.228 |
| 22690.0 | 0.221 |
| 22700.0 | 0.234 |
| 22710.0 | 0.235 |
| 22720.0 |  0.23 |
| 22730.0 | 0.233 |
| 22740.0 | 0.234 |
| 22750.0 | 0.226 |
