# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth (for airmass 1.3)
# 
# Bandpass Name(s): Z
# 
# Instrument: WFCAM on UKIRT, Mauna Kea, Hawaii
# 
# Determined by: Hewett et al. (2006)
# 
# Date of determination: Unknown
# 
# Meaning of/Reason for default column: 1.3 airmass; typical for observations
# 
# Notes:
# 
# This file created from the above paper by
# Anthony Smith 2005-11-18
| lambda |  pass |
| 8029.0 |   0.0 |
| 8040.0 | 0.001 |
| 8050.0 | 0.001 |
| 8060.0 | 0.001 |
| 8070.0 | 0.001 |
| 8080.0 | 0.001 |
| 8090.0 | 0.001 |
| 8100.0 | 0.001 |
| 8110.0 | 0.001 |
| 8120.0 | 0.001 |
| 8130.0 | 0.002 |
| 8140.0 | 0.002 |
| 8150.0 | 0.002 |
| 8160.0 | 0.003 |
| 8169.0 | 0.003 |
| 8180.0 | 0.004 |
| 8190.0 | 0.005 |
| 8200.0 | 0.005 |
| 8210.0 | 0.007 |
| 8220.0 | 0.008 |
| 8230.0 | 0.009 |
| 8240.0 | 0.012 |
| 8250.0 | 0.015 |
| 8260.0 | 0.019 |
| 8270.0 | 0.024 |
| 8280.0 | 0.028 |
| 8290.0 | 0.034 |
| 8300.0 | 0.041 |
| 8310.0 | 0.048 |
| 8320.0 | 0.056 |
| 8330.0 | 0.065 |
| 8340.0 | 0.074 |
| 8350.0 | 0.083 |
| 8360.0 | 0.093 |
| 8370.0 | 0.103 |
| 8380.0 | 0.112 |
| 8390.0 | 0.121 |
| 8400.0 | 0.128 |
| 8410.0 | 0.135 |
| 8420.0 | 0.141 |
| 8430.0 | 0.146 |
| 8440.0 | 0.151 |
| 8450.0 | 0.154 |
| 8460.0 | 0.157 |
| 8470.0 | 0.158 |
| 8480.0 | 0.159 |
| 8490.0 |  0.16 |
| 8500.0 | 0.161 |
| 8510.0 | 0.161 |
| 8520.0 | 0.162 |
| 8530.0 | 0.162 |
| 8540.0 | 0.162 |
| 8550.0 | 0.163 |
| 8560.0 | 0.163 |
| 8570.0 | 0.164 |
| 8580.0 | 0.164 |
| 8590.0 | 0.165 |
| 8600.0 | 0.166 |
| 8610.0 | 0.168 |
| 8620.0 | 0.169 |
| 8630.0 |  0.17 |
| 8640.0 | 0.171 |
| 8650.0 | 0.172 |
| 8660.0 | 0.172 |
| 8670.0 | 0.173 |
| 8680.0 | 0.173 |
| 8690.0 | 0.173 |
| 8700.0 | 0.174 |
| 8710.0 | 0.174 |
| 8720.0 | 0.174 |
| 8730.0 | 0.175 |
| 8740.0 | 0.175 |
| 8750.0 | 0.176 |
| 8760.0 | 0.177 |
| 8770.0 | 0.178 |
| 8780.0 | 0.179 |
| 8790.0 | 0.179 |
| 8800.0 |  0.18 |
| 8810.0 | 0.181 |
| 8820.0 | 0.181 |
| 8830.0 | 0.181 |
| 8840.0 | 0.182 |
| 8850.0 | 0.182 |
| 8860.0 | 0.183 |
| 8870.0 | 0.183 |
| 8880.0 | 0.184 |
| 8890.0 | 0.184 |
| 8900.0 | 0.185 |
| 8910.0 | 0.185 |
| 8920.0 | 0.185 |
| 8930.0 | 0.186 |
| 8940.0 | 0.186 |
| 8950.0 | 0.185 |
| 8960.0 | 0.186 |
| 8970.0 | 0.185 |
| 8980.0 | 0.186 |
| 8990.0 | 0.173 |
| 9000.0 | 0.186 |
| 9010.0 | 0.183 |
| 9020.0 | 0.176 |
| 9030.0 | 0.183 |
| 9040.0 | 0.188 |
| 9050.0 | 0.186 |
| 9060.0 | 0.186 |
| 9070.0 | 0.179 |
| 9080.0 | 0.183 |
| 9090.0 | 0.178 |
| 9100.0 | 0.182 |
| 9110.0 | 0.179 |
| 9120.0 |  0.18 |
| 9130.0 | 0.186 |
| 9140.0 | 0.181 |
| 9150.0 | 0.191 |
| 9160.0 | 0.185 |
| 9170.0 | 0.189 |
| 9180.0 | 0.185 |
| 9190.0 | 0.188 |
| 9200.0 | 0.186 |
| 9210.0 | 0.184 |
| 9220.0 | 0.179 |
| 9230.0 | 0.177 |
| 9240.0 | 0.169 |
| 9250.0 |  0.16 |
| 9260.0 | 0.149 |
| 9270.0 | 0.132 |
| 9280.0 |  0.11 |
| 9290.0 | 0.091 |
| 9300.0 |  0.07 |
| 9310.0 | 0.052 |
| 9320.0 | 0.035 |
| 9330.0 | 0.031 |
| 9340.0 | 0.023 |
| 9350.0 |  0.02 |
| 9360.0 | 0.012 |
| 9370.0 | 0.011 |
| 9380.0 | 0.008 |
| 9390.0 | 0.006 |
| 9400.0 | 0.005 |
| 9410.0 | 0.004 |
| 9420.0 | 0.003 |
| 9430.0 | 0.002 |
| 9440.0 | 0.002 |
| 9450.0 | 0.002 |
| 9460.0 | 0.002 |
| 9470.0 | 0.002 |
| 9480.0 | 0.001 |
| 9490.0 | 0.001 |
| 9500.0 | 0.001 |
| 9510.0 | 0.001 |
| 9520.0 | 0.001 |
| 9530.0 | 0.001 |
| 9540.0 | 0.001 |
| 9550.0 | 0.001 |
| 9560.0 |   0.0 |
