# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F555W
# 
# Instrument: WFPC2
# 
|  lambda |       pass |
|  1850.0 | 9.0868e-07 |
|  1860.0 | 0.00050936 |
|  1870.0 | 0.00058492 |
|  1880.0 | 0.00056528 |
|  1890.0 | 0.00016975 |
|  1900.0 | 7.2497e-05 |
|  1910.0 | 0.00027731 |
|  1920.0 | 0.00012898 |
|  1930.0 | 1.5929e-05 |
|  1940.0 |  2.794e-06 |
|  1950.0 | 9.1914e-05 |
|  1960.0 | 7.5507e-05 |
|  1970.0 | 8.2395e-05 |
|  1980.0 | 1.2669e-05 |
|  1990.0 | 2.8369e-05 |
|  2000.0 | 7.3234e-05 |
|  2010.0 | 3.2595e-07 |
|  2020.0 | 5.4066e-06 |
|  2030.0 | 1.7344e-06 |
|  2040.0 | 7.6643e-07 |
|  2050.0 | 3.7469e-05 |
|  2060.0 | 2.8279e-06 |
|  2070.0 |  1.246e-05 |
|  2080.0 | 1.1563e-05 |
|  2090.0 | 4.1347e-07 |
|  2100.0 | 3.1519e-07 |
|  2110.0 | 2.0424e-06 |
|  2120.0 | 5.6688e-06 |
|  2130.0 | 9.2442e-07 |
|  2140.0 | 3.1519e-07 |
|  2150.0 | 1.0207e-06 |
|  2160.0 | 9.6071e-07 |
|  2170.0 | 3.1519e-07 |
|  2180.0 | 3.1678e-06 |
|  2190.0 | 2.5259e-06 |
|  2200.0 | 5.9309e-06 |
|  2210.0 | 3.1519e-07 |
|  2220.0 | 1.0546e-06 |
|  2230.0 | 1.0845e-05 |
|  2240.0 | 3.2705e-06 |
|  2250.0 | 1.2958e-05 |
|  2260.0 | 8.0441e-07 |
|  2270.0 | 2.3335e-06 |
|  2280.0 | 3.1519e-07 |
|  2290.0 | 1.6198e-06 |
|  2300.0 | 3.5595e-07 |
|  2310.0 | 6.9147e-07 |
|  2320.0 |  7.458e-07 |
|  2330.0 | 3.1519e-07 |
|  2340.0 | 3.8147e-07 |
|  2350.0 |  6.199e-07 |
|  2360.0 | 1.0107e-06 |
|  2370.0 |  7.471e-07 |
