# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F606W
# 
# Instrument: WFPC2
# 
| lambda |         pass |
| 4500.0 |          0.0 |
| 4600.0 |          0.0 |
| 4700.0 |      0.03125 |
| 4800.0 |      0.34375 |
| 4900.0 |      0.40625 |
| 5000.0 |  0.489582986 |
| 5100.0 |  0.583333015 |
| 5200.0 |      0.59375 |
| 5300.0 |  0.604165971 |
| 5400.0 |  0.739583015 |
| 5500.0 |         0.75 |
| 5600.0 |  0.833333015 |
| 5700.0 |  0.822916985 |
| 5800.0 |  0.833333015 |
| 5900.0 |  0.947916985 |
| 6000.0 |  0.947916985 |
| 6100.0 |  0.958333015 |
| 6200.0 |          1.0 |
| 6300.0 |  0.927083015 |
| 6400.0 |  0.927083015 |
| 6500.0 |      0.96875 |
| 6600.0 |       0.9375 |
| 6700.0 |      0.90625 |
| 6800.0 |  0.885416985 |
| 6900.0 |      0.65625 |
| 7000.0 |  0.489582986 |
| 7100.0 |  0.302083313 |
| 7200.0 |  0.208333299 |
| 7300.0 | 0.0208333004 |
| 7400.0 |          0.0 |
