# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F675W
# 
# Instrument: WFPC2
# 
| lambda |       pass |
| 6666.0 | 0.00017439 |
| 6668.0 | 0.00062641 |
| 6670.0 |  0.0012074 |
| 6672.0 |  0.0020693 |
| 6674.0 |  0.0035969 |
| 6676.0 |  0.0057521 |
| 6678.0 |   0.009032 |
| 6680.0 |   0.013919 |
| 6682.0 |   0.020651 |
| 6684.0 |    0.03051 |
| 6686.0 |   0.043199 |
| 6688.0 |   0.060595 |
| 6690.0 |   0.084108 |
| 6692.0 |    0.11375 |
| 6694.0 |    0.15456 |
| 6696.0 |    0.20714 |
| 6698.0 |    0.27488 |
| 6700.0 |    0.36372 |
| 6702.0 |    0.45944 |
| 6704.0 |    0.56736 |
| 6706.0 |    0.66478 |
| 6708.0 |    0.74122 |
| 6710.0 |    0.79465 |
| 6712.0 |     0.8238 |
| 6714.0 |    0.83726 |
| 6716.0 |    0.84214 |
| 6718.0 |    0.84564 |
| 6720.0 |    0.84967 |
| 6722.0 |    0.85486 |
| 6724.0 |    0.86037 |
| 6726.0 |    0.86482 |
| 6728.0 |    0.86769 |
| 6730.0 |    0.86949 |
| 6732.0 |    0.87002 |
| 6734.0 |    0.87002 |
| 6736.0 |     0.8696 |
| 6738.0 |    0.86822 |
| 6740.0 |    0.86557 |
| 6742.0 |    0.86143 |
| 6744.0 |    0.85475 |
| 6746.0 |    0.84606 |
| 6748.0 |    0.83514 |
| 6750.0 |    0.82189 |
| 6752.0 |    0.80578 |
| 6754.0 |    0.78415 |
| 6756.0 |    0.75351 |
| 6758.0 |    0.70793 |
| 6760.0 |    0.64411 |
| 6762.0 |    0.56058 |
| 6764.0 |    0.46135 |
| 6766.0 |    0.35874 |
| 6768.0 |    0.26248 |
| 6770.0 |    0.17905 |
| 6772.0 |    0.11841 |
| 6774.0 |   0.075394 |
| 6776.0 |   0.047121 |
| 6778.0 |   0.029916 |
| 6780.0 |    0.01905 |
| 6782.0 |   0.012265 |
| 6784.0 |  0.0079857 |
| 6786.0 |  0.0052729 |
| 6788.0 |  0.0034739 |
| 6790.0 |  0.0022665 |
| 6792.0 |  0.0014396 |
| 6794.0 |  0.0008891 |
| 6796.0 | 0.00046369 |
| 6798.0 | 0.00016082 |
