# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F702W
# 
# Instrument: WFPC2
# 
|   lambda |        pass |
| 5873.514 | 0.002000584 |
| 5891.003 | 0.004076829 |
| 5908.548 | 0.008462795 |
| 5926.146 |  0.01725665 |
| 5943.792 |  0.03244912 |
| 5961.497 |  0.05600129 |
| 5979.249 |    0.083886 |
| 5997.053 |    0.102572 |
| 6014.917 |   0.1068097 |
| 6032.828 |   0.1038271 |
| 6050.795 |   0.1012482 |
| 6068.813 |   0.1018823 |
| 6086.887 |   0.1028054 |
| 6105.018 |   0.1043761 |
| 6123.197 |   0.1088326 |
|  6141.43 |   0.1160809 |
| 6159.717 |   0.1229462 |
| 6178.066 |   0.1280735 |
| 6196.466 |   0.1328514 |
| 6214.917 |   0.1369836 |
| 6233.427 |   0.1393308 |
| 6251.988 |   0.1399598 |
| 6270.611 |   0.1396211 |
| 6289.283 |   0.1387254 |
| 6308.011 |     0.13784 |
| 6317.402 |   0.1374096 |
| 6336.214 |   0.1363975 |
| 6355.081 |   0.1355163 |
| 6374.012 |   0.1355917 |
| 6392.991 |   0.1364688 |
| 6412.031 |   0.1376308 |
| 6431.128 |   0.1388474 |
| 6450.278 |   0.1403606 |
| 6469.488 |   0.1419733 |
| 6488.752 |   0.1434754 |
| 6508.078 |   0.1442949 |
|  6527.46 |   0.1435007 |
|   6546.9 |   0.1435545 |
| 6566.399 |   0.1424654 |
| 6585.952 |   0.1410499 |
| 6605.566 |   0.1392937 |
| 6625.239 |   0.1374274 |
| 6644.967 |    0.135638 |
| 6664.757 |   0.1340851 |
| 6684.603 |    0.132855 |
| 6704.515 |   0.1319033 |
| 6724.479 |   0.1313147 |
| 6744.506 |   0.1310953 |
| 6764.593 |   0.1311189 |
| 6784.736 |   0.1311777 |
| 6804.943 |   0.1311741 |
| 6825.209 |   0.1309864 |
| 6845.533 |   0.1305802 |
|  6865.92 |   0.1297528 |
| 6886.369 |      0.1285 |
| 6906.875 |   0.1270389 |
| 6927.449 |   0.1251962 |
| 6948.076 |    0.123247 |
|  6968.77 |   0.1211356 |
| 6989.521 |   0.1192785 |
| 7010.337 |   0.1175866 |
| 7031.211 |   0.1160319 |
| 7052.156 |   0.1147551 |
| 7073.155 |    0.113839 |
| 7094.217 |   0.1132136 |
| 7115.349 |   0.1128999 |
| 7136.537 |   0.1128283 |
| 7157.791 |   0.1128126 |
| 7179.108 |   0.1125739 |
| 7200.486 |   0.1120515 |
| 7221.931 |   0.1111959 |
| 7243.439 |   0.1098699 |
| 7265.008 |   0.1081286 |
| 7286.649 |   0.1059498 |
| 7308.346 |   0.1035371 |
| 7330.112 |   0.1009246 |
| 7351.939 |  0.09835121 |
| 7373.835 |  0.09602074 |
| 7395.796 |  0.09413018 |
| 7417.819 |  0.09255518 |
| 7439.911 |  0.09118417 |
| 7462.064 |  0.09005059 |
| 7484.292 |  0.08944306 |
| 7506.583 |  0.08942165 |
| 7528.935 |  0.08979449 |
| 7551.358 |  0.09013341 |
| 7573.844 |  0.09034672 |
|   7596.4 |  0.09041346 |
| 7619.024 |  0.09028631 |
| 7641.711 |  0.08979077 |
| 7664.475 |  0.08883825 |
| 7687.297 |  0.08738539 |
| 7710.191 |  0.08543143 |
| 7733.154 |  0.08308262 |
| 7756.182 |  0.08059648 |
| 7779.281 |  0.07814707 |
| 7802.446 |  0.07556861 |
| 7825.683 |  0.07279098 |
| 7848.994 |  0.07004315 |
| 7872.366 |  0.06770118 |
| 7895.812 |  0.06584255 |
| 7919.323 |   0.0642991 |
| 7942.909 |  0.06310357 |
| 7966.565 |  0.06259299 |
| 7990.287 |  0.06252898 |
| 8014.084 |  0.06129769 |
| 8037.948 |  0.05947164 |
| 8061.891 |  0.05794597 |
| 8085.901 |  0.05596928 |
| 8109.979 |  0.05083521 |
| 8134.132 |  0.04272189 |
| 8158.353 |  0.03427444 |
| 8182.651 |  0.02806097 |
| 8207.021 |  0.02194397 |
| 8231.459 |  0.01581387 |
| 8255.979 |  0.01107167 |
| 8280.563 | 0.007665501 |
| 8305.224 | 0.005485704 |
| 8329.959 | 0.004177022 |
| 8354.763 | 0.003167049 |
| 8379.646 | 0.002375863 |
| 8404.598 |  0.00182785 |
| 8429.628 | 0.001446089 |
| 8454.738 | 0.001111605 |
