# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
#         entering the atmosphere of Earth
# 
# Bandpass Name(s): F814W
# 
# Instrument: WFPC2
# 
|  lambda |          pass |
|  6800.0 |           0.0 |
|  6900.0 |           0.0 |
|  7000.0 |   0.699999988 |
|  7100.0 |   0.839999974 |
|  7200.0 |           1.0 |
|  7300.0 |    0.99000001 |
|  7400.0 |   0.920000017 |
|  7500.0 |   0.870000005 |
|  7600.0 |   0.860000014 |
|  7700.0 |   0.839999974 |
|  7800.0 |   0.790000021 |
|  7900.0 |    0.74000001 |
|  8000.0 |   0.670000017 |
|  8100.0 |   0.589999974 |
|  8200.0 |   0.560000002 |
|  8300.0 |   0.540000021 |
|  8400.0 |    0.50999999 |
|  8500.0 |   0.479999989 |
|  8600.0 |   0.439999998 |
|  8700.0 |   0.409999996 |
|  8800.0 |   0.370000005 |
|  8900.0 |   0.349999994 |
|  9000.0 |   0.330000013 |
|  9100.0 |   0.319999993 |
|  9200.0 |   0.310000002 |
|  9300.0 |   0.280000001 |
|  9400.0 |          0.25 |
|  9500.0 |   0.200000003 |
|  9600.0 |   0.129999995 |
|  9700.0 |  0.0399999991 |
|  9800.0 | 0.00999999978 |
|  9900.0 |           0.0 |
| 10000.0 |           0.0 |
