# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W4
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   25300.0 | 7.003e-17 |  348.0 |
|   25400.0 | 1.522e-16 |  349.0 |
|   25500.0 | 1.844e-13 |  370.0 |
|   25600.0 | 9.997e-14 |  370.0 |
|   25700.0 | 7.625e-15 |  371.0 |
|   25800.0 | 3.118e-33 | 1000.0 |
|   25900.0 | 1.462e-42 | 1000.0 |
|   26000.0 | 5.623e-31 |  707.0 |
| 26099.998 | 3.098e-31 | 1000.0 |
| 26199.998 | 3.176e-31 | 1000.0 |
| 26300.002 |  2.18e-29 |  707.0 |
| 26400.002 | 1.787e-31 |  707.0 |
|   26500.0 |   2.7e-29 |  707.0 |
|   26600.0 | 2.247e-36 |  707.0 |
|   26700.0 | 2.359e-15 |  343.0 |
|   26800.0 | 3.207e-15 |  342.0 |
|   26900.0 | 1.199e-14 |  341.0 |
|   27000.0 | 1.202e-14 |  342.0 |
|   27100.0 | 8.765e-15 |  341.0 |
|   27200.0 | 1.952e-14 |  341.0 |
|   27300.0 | 1.035e-13 |  339.0 |
|   27400.0 | 7.126e-15 |  339.0 |
|   27500.0 | 1.393e-15 |  338.0 |
|   27600.0 | 4.985e-25 |  707.0 |
|   27700.0 | 5.091e-16 |  338.0 |
|   27800.0 | 9.944e-15 |  336.0 |
|   27900.0 |  8.07e-16 |  337.0 |
|   28000.0 | 1.143e-15 |  336.0 |
|   28100.0 |  2.04e-16 |  337.0 |
|   28200.0 | 5.719e-15 |  337.0 |
|   28300.0 | 5.992e-15 |  335.0 |
|   28400.0 | 4.627e-14 |  335.0 |
|   28500.0 | 1.741e-14 |  334.0 |
| 28599.998 | 5.682e-29 |  707.0 |
| 28699.998 | 3.797e-29 |  707.0 |
| 28800.002 | 6.839e-32 |  707.0 |
| 28900.002 |  2.24e-15 |  332.0 |
|   29000.0 | 1.127e-14 |  332.0 |
|   29100.0 | 8.233e-14 |  332.0 |
|   29200.0 | 1.135e-15 |  332.0 |
|   29300.0 | 7.364e-14 |  330.0 |
|   29400.0 | 6.407e-14 |  330.0 |
|   29500.0 |  9.98e-14 |  330.0 |
|   29600.0 | 1.153e-14 |  330.0 |
|   29700.0 | 7.823e-15 |  330.0 |
|   29800.0 | 7.042e-16 |  329.0 |
|   29900.0 | 7.271e-15 |  328.0 |
|   30000.0 | 4.592e-14 |  328.0 |
|   30100.0 | 1.052e-14 |  327.0 |
|   30200.0 | 2.544e-13 |  327.0 |
|   30300.0 | 1.169e-13 |  326.0 |
|   30400.0 | 1.287e-14 |  326.0 |
|   30500.0 | 6.288e-14 |  325.0 |
|   30600.0 | 4.588e-34 |  707.0 |
|   30700.0 | 7.799e-27 |  707.0 |
|   30800.0 | 2.492e-25 |  707.0 |
|   30900.0 | 1.711e-25 | 1000.0 |
|   31000.0 | 7.617e-30 | 1000.0 |
| 31099.998 | 4.472e-28 | 1000.0 |
| 31199.998 | 1.129e-29 | 1000.0 |
| 31300.002 |  5.43e-37 |  707.0 |
| 31400.002 | 1.119e-30 |  707.0 |
|   31500.0 | 8.334e-16 |  321.0 |
|   31600.0 | 1.481e-14 |  321.0 |
|   31700.0 | 3.623e-14 |  321.0 |
|   31800.0 | 3.962e-14 |  320.0 |
|   31900.0 | 3.184e-15 |  319.0 |
|   32000.0 |  4.85e-15 |  319.0 |
|   32100.0 | 6.317e-16 |  318.0 |
|   32200.0 | 1.508e-13 |  336.0 |
|   32300.0 | 1.131e-14 |  319.0 |
